DATE,WTEMP,WLEVEL,FLOW,TEMP,WDSP,PRCP,RHMEAN,DH
2006-01-01 00:00:00,5.4,1818.43,520,10.9 ,4.4,0,46,9.5
2006-01-02 00:00:00,5.4,1818.41,513,11.7 ,5,0,32,9.6
2006-01-03 00:00:00,5.2,1818.41,513,14.2 ,8,0,20,9.6
2006-01-04 00:00:00,5.2,1818.41,515,13.9 ,8,0,11,9
2006-01-05 00:00:00,5.4,1818.42,519,13.8 ,7.8,0,11,9.4
2006-01-06 00:00:00,5.4,1818.42,517,13.9 ,8.3,0,12,9.6
2006-01-07 00:00:00,5.4,1818.42,517,13.3 ,8.7,0,13,9.6
2006-01-08 00:00:00,5.4,1818.41,513,11.8 ,7.3,0,13,9.6
2006-01-09 00:00:00,5.4,1818.4,510,11.0 ,5.3,0,20,9.6
2006-01-10 00:00:00,5.6,1818.4,510,10.9 ,4.9,0,20,9.5
2006-01-11 00:00:00,5.6,1818.4,509,9.9 ,6.8,0,16,9.5
2006-01-12 00:00:00,5.8,1818.36,497,10.1 ,7.5,0,22,9.6
2006-01-13 00:00:00,5.8,1818.34,489,8.0 ,5.3,0,31,9.6
2006-01-14 00:00:00,5.8,1818.32,485,7.8 ,6.6,0,38,9.5
2006-01-15 00:00:00,6,1818.31,482,7.6 ,6.4,0,43,9
2006-01-16 00:00:00,6.2,1818.3,478,7.3 ,4.4,0,53,9.6
2006-01-17 00:00:00,6.2,1818.29,475,7.4 ,6.6,0,52,9.6
2006-01-18 00:00:00,6.2,1818.29,474,9.5 ,12.5,0,42,9.2
2006-01-19 00:00:00,6,1818.3,477,11.3 ,10.4,0,40,9.6
2006-01-20 00:00:00,6.6,1818.3,477,9.1 ,6.9,0,44,9.7
2006-01-21 00:00:00,6.8,1818.29,475,9.4 ,5.8,0,67,7.5
2006-01-22 00:00:00,7,1818.3,477,11.3 ,7.5,0,35,9.6
2006-01-23 00:00:00,7.2,1818.31,481,12.1 ,9.2,0,39,9.7
2006-01-24 00:00:00,7.2,1818.31,482,10.9 ,9.5,0,26,9.7
2006-01-25 00:00:00,7,1818.32,484,8.6 ,9,0,23,9.8
2006-01-26 00:00:00,7,1818.31,479,7.4 ,1.9,0,37,9.7
2006-01-27 00:00:00,6.8,1818.3,476,8.4 ,7,0,43,9.7
2006-01-28 00:00:00,6.8,1818.29,473,9.7 ,4.1,0,29,9.8
2006-01-29 00:00:00,6.8,1818.27,467,11.4 ,5.8,0,23,9.8
2006-01-30 00:00:00,6.8,1818.24,460,10.3 ,4.1,0,33,9.8
2006-01-31 00:00:00,6.8,1818.24,458,9.2 ,3.9,0,48,9.6
2006-02-01 00:00:00,7,1818.25,461,10.7 ,4.4,0,55,9.6
2006-02-02 00:00:00,6.8,1818.25,463,12.3 ,4.9,0,48,9.6
2006-02-03 00:00:00,7,1818.24,460,10.1 ,3.6,0,48,9.8
2006-02-04 00:00:00,7.2,1818.25,462,10.1 ,7.5,0,50,8.4
2006-02-05 00:00:00,7.2,1818.26,464,8.6 ,7.5,0,42,6.6
2006-02-06 00:00:00,6.8,1818.27,468,9.3 ,5.6,0,39,10
2006-02-07 00:00:00,7.2,1818.27,469,11.6 ,5.3,0,33,10.1
2006-02-08 00:00:00,7.4,1818.25,463,11.2 ,7,0,30,10
2006-02-09 00:00:00,7.4,1818.24,459,10.1 ,5.8,0,32,9.9
2006-02-10 00:00:00,7.6,1818.24,458,9.7 ,7,0,31,5.7
2006-02-11 00:00:00,7.6,1818.23,458,9.1 ,4.6,0,34,10.1
2006-02-12 00:00:00,7.6,1818.23,456,11.3 ,7.5,0,35,10.1
2006-02-13 00:00:00,7.8,1818.24,459,11.3 ,10,0,30,10.2
2006-02-14 00:00:00,7.8,1818.23,458,10.7 ,9.5,0,37,6.9
2006-02-15 00:00:00,8,1818.23,457,9.9 ,5.8,0,52,3
2006-02-16 00:00:00,8.2,1818.25,463,7.8 ,7.5,0.11,60,4.4
2006-02-17 00:00:00,8.2,1818.27,469,7.1 ,4.9,0.01,75,0.4
2006-02-18 00:00:00,8.2,1818.25,463,8.7 ,7.5,0,61,4.9
2006-02-19 00:00:00,8.2,1818.23,458,11.0 ,8.7,0,47,8.2
2006-02-20 00:00:00,8.4,1818.23,456,12.4 ,7.8,0,47,9.5
2006-02-21 00:00:00,9,1818.22,455,13.1 ,8.5,0,42,7.7
2006-02-22 00:00:00,8.8,1818.22,455,11.4 ,6.1,0.02,59,3.2
2006-02-23 00:00:00,9.2,1818.23,457,10.7 ,5.3,0.02,64,0.9
2006-02-24 00:00:00,9.4,1818.24,459,9.2 ,4.6,0.04,72,0.2
2006-02-25 00:00:00,9.6,1818.23,457,12.4 ,5.1,0,62,8.8
2006-02-26 00:00:00,10.2,1818.24,459,13.9 ,11.7,0,48,9.1
2006-02-27 00:00:00,10.6,1818.25,461,11.6 ,5.1,0,54,2.1
2006-02-28 00:00:00,10.6,1818.24,459,12.2 ,6.1,0,44,5.9
2006-03-01 00:00:00,10.2,1818.25,462,12.2 ,9.2,0,35,9.8
2006-03-02 00:00:00,10.2,1818.26,464,12.2 ,8.7,0,26,10.3
2006-03-03 00:00:00,10.4,1818.26,464,11.6 ,8,0,34,8.6
2006-03-04 00:00:00,10.2,1818.25,462,11.8 ,9.5,0,35,8.5
2006-03-05 00:00:00,10,1818.22,455,12.1 ,6.3,0,39,10.3
2006-03-06 00:00:00,9.8,1818.21,451,10.8 ,10.7,0,38,10.4
2006-03-07 00:00:00,9.4,1818.22,453,12.5 ,11.2,0,30,10.9
2006-03-08 00:00:00,9.8,1818.2,447,12.8 ,4.1,0,38,9.9
2006-03-09 00:00:00,10,1818.2,448,14.3 ,6.1,0,40,10.8
2006-03-10 00:00:00,10.2,1818.2,449,16.2 ,12.1,0,33,11
2006-03-11 00:00:00,10.6,1818.21,451,16.3 ,10,0,31,10.7
2006-03-12 00:00:00,10.8,1818.22,454,10.3 ,7.5,0.03,50,5
2006-03-13 00:00:00,10.6,1818.24,460,11.1 ,5.3,0,55,6.4
2006-03-14 00:00:00,10.8,1818.24,460,10.8 ,6.6,0,49,4.3
2006-03-15 00:00:00,10.4,1818.23,457,13.4 ,8.5,0,42,10.6
2006-03-16 00:00:00,10,1818.22,454,14.1 ,8.5,0,33,11.1
2006-03-17 00:00:00,10.4,1818.21,451,13.9 ,9.2,0,41,9.1
2006-03-18 00:00:00,10.6,1818.21,452,13.0 ,7,0,41,9.9
2006-03-19 00:00:00,11,1818.21,450,13.3 ,5.8,0,33,10.4
2006-03-20 00:00:00,10.8,1818.21,451,13.7 ,10,0,31,10.6
2006-03-21 00:00:00,10.8,1818.21,451,14.3 ,8.5,0,27,10.6
2006-03-22 00:00:00,11,1818.22,453,11.5 ,7.8,0,33,5.4
2006-03-23 00:00:00,10.6,1818.21,452,11.2 ,9.5,0,44,9
2006-03-24 00:00:00,10.2,1818.18,442,11.9 ,7.8,0,42,7.7
2006-03-25 00:00:00,10,1818.21,450,13.1 ,7.8,0,34,9.4
2006-03-26 00:00:00,10.2,1818.21,450,14.3 ,9.5,0,37,10.3
2006-03-27 00:00:00,10.8,1818.21,450,13.0 ,7,0,45,5
2006-03-28 00:00:00,11,1818.21,452,14.7 ,8,0,37,10.6
2006-03-29 00:00:00,11,1818.23,457,14.7 ,7.8,0,30,9.7
2006-03-30 00:00:00,10.8,1818.24,458,14.0 ,6.8,0,31,10.9
2006-03-31 00:00:00,11,1818.23,458,14.3 ,10.4,0,29,11.4
2006-04-01 00:00:00,11.2,1818.23,457,16.4 ,7,0,29,11.6
2006-04-02 00:00:00,11.6,1818.24,459,15.0 ,7.5,0.01,31,10.4
2006-04-03 00:00:00,11.4,1818.24,460,12.4 ,9,0,46,7.2
2006-04-04 00:00:00,11.4,1818.26,464,14.2 ,9,0,42,9.3
2006-04-05 00:00:00,11.6,1818.28,471,11.4 ,4.6,0,55,4.1
2006-04-06 00:00:00,11.4,1818.32,485,13.0 ,4.4,0,56,7.2
2006-04-07 00:00:00,11.8,1818.35,494,12.4 ,6.1,0,53,5.4
2006-04-08 00:00:00,11.6,1818.38,501,14.8 ,9.5,0,46,9.9
2006-04-09 00:00:00,11.6,1818.37,500,16.0 ,9,0,38,10.1
2006-04-10 00:00:00,12,1818.34,491,16.3 ,11.7,0,40,8
2006-04-11 00:00:00,11.6,1818.34,490,14.4 ,11.9,0.09,54,6.9
2006-04-12 00:00:00,11.4,1818.37,498,17.3 ,8.3,0,36,11.3
2006-04-13 00:00:00,11.8,1818.36,495,17.9 ,9.2,0,33,11.8
2006-04-14 00:00:00,11.6,1818.4,512,14.8 ,8,0,45,6.9
2006-04-15 00:00:00,11.8,1818.48,544,15.9 ,6.8,0,38,11
2006-04-16 00:00:00,11.6,1818.52,562,16.4 ,6.6,0,37,8.7
2006-04-17 00:00:00,11.2,1818.57,582,17.1 ,9.2,0,32,9.5
2006-04-18 00:00:00,11,1818.56,577,15.4 ,6.1,0,40,2.4
2006-04-19 00:00:00,11.2,1818.54,569,16.2 ,7.3,0,56,6.4
2006-04-20 00:00:00,11.4,1818.55,572,16.8 ,8,0,38,11
2006-04-21 00:00:00,12,1818.59,593,16.1 ,10.4,0,32,11
2006-04-22 00:00:00,11.8,1818.65,622,16.2 ,8,0,37,10.1
2006-04-23 00:00:00,12.4,1818.7,648,17.4 ,5.3,0,35,10.7
2006-04-24 00:00:00,13.6,1818.73,662,16.9 ,8.7,0,38,11.6
2006-04-25 00:00:00,13.6,1818.76,680,17.4 ,9.5,0,35,9.7
2006-04-26 00:00:00,13.8,1818.77,685,16.1 ,9.7,0,38,7.7
2006-04-27 00:00:00,13.4,1818.79,694,17.5 ,8.5,0,34,6.2
2006-04-28 00:00:00,13.8,1818.81,705,10.6 ,3.6,0.13,60,2.7
2006-04-29 00:00:00,13.4,1818.87,736,12.8 ,3.9,0.04,55,6.8
2006-04-30 00:00:00,13.2,1818.85,724,11.7 ,3.6,0,52,4.7
2006-05-01 00:00:00,13.2,1818.79,694,15.9 ,2.9,0,47,11
2006-05-02 00:00:00,13.8,1818.82,711,19.4 ,4.1,0,32,11.1
2006-05-03 00:00:00,14.4,1818.92,764,19.8 ,8.3,0,39,9
2006-05-04 00:00:00,14.4,1819.06,844,19.7 ,9.7,0,37,11.3
2006-05-05 00:00:00,14.4,1819.26,965,19.4 ,9.7,0,36,11.6
2006-05-06 00:00:00,14.2,1819.32,1000,18.8 ,8,0,37,6.2
2006-05-07 00:00:00,14.4,1819.36,1020,19.4 ,9.2,0,37,10.6
2006-05-08 00:00:00,14.4,1819.31,994,18.5 ,8.3,0,41,8.4
2006-05-09 00:00:00,14.2,1819.26,961,20.2 ,7.8,0,38,12.5
2006-05-10 00:00:00,14.8,1819.29,984,18.2 ,4.1,0.03,46,2.3
2006-05-11 00:00:00,15.3,1819.42,1070,18.2 ,5.1,0,58,1.5
2006-05-12 00:00:00,15.5,1819.48,1110,18.7 ,4.1,0,56,3.7
2006-05-13 00:00:00,15.3,1819.48,1110,10.3 ,4.1,0.74,75,1.3
2006-05-14 00:00:00,14.2,1819.52,1140,8.3 ,2.7,0.13,79,0.1
2006-05-15 00:00:00,14,1819.48,1120,8.9 ,1.7,0.11,73,3.6
2006-05-16 00:00:00,13.6,1819.33,1010,13.8 ,3.4,0.02,60,10.5
2006-05-17 00:00:00,14.2,1819.19,921,15.9 ,3.9,0.23,46,10
2006-05-18 00:00:00,14.6,1819.08,854,16.8 ,3.4,0,59,9.5
2006-05-19 00:00:00,14.8,1819.03,824,18.6 ,2.7,0.07,59,8.2
2006-05-20 00:00:00,15.3,1818.99,803,20.0 ,6.3,0,49,10.7
2006-05-21 00:00:00,15,1818.99,804,16.6 ,5.8,2.04,48,7
2006-05-22 00:00:00,15.3,1819.07,844,15.2 ,3.2,0.11,78,6.3
2006-05-23 00:00:00,15.5,1819.08,851,16.8 ,1.9,0.08,76,3.1
2006-05-24 00:00:00,15.5,1819,808,19.3 ,3.2,0,65,7.8
2006-05-25 00:00:00,15.7,1818.98,797,19.3 ,3.4,0,63,7.8
2006-05-26 00:00:00,16.5,1819.03,824,17.6 ,2.4,0.4,70,3.7
2006-05-27 00:00:00,16.5,1819.1,862,17.7 ,5.3,0.02,67,0.5
2006-05-28 00:00:00,16.5,1819.16,898,15.2 ,3.2,0.64,77,0.8
2006-05-29 00:00:00,16.3,1819.28,977,14.8 ,4.6,0.88,91,0
2006-05-30 00:00:00,16.1,1819.56,1170,13.7 ,5.3,0.59,92,1.1
2006-05-31 00:00:00,16.1,1819.78,1350,15.2 ,3.4,0.18,88,0.7
2006-06-01 00:00:00,15.9,1819.81,1380,19.3 ,3.9,0.11,75,3.5
2006-06-02 00:00:00,15.3,1819.8,1370,19.8 ,3.6,0.03,62,2.3
2006-06-03 00:00:00,15.5,1819.86,1420,21.7 ,7.5,0,57,6.9
2006-06-04 00:00:00,16.1,1820.06,1610,22.0 ,7.8,0,55,7.5
2006-06-05 00:00:00,16.1,1820.2,1740,22.9 ,9.7,0,48,7.6
2006-06-06 00:00:00,16.7,1820.22,1770,23.2 ,10.4,0,50,10.8
2006-06-07 00:00:00,16.9,1820.24,1790,21.9 ,5.1,0,54,4.4
2006-06-08 00:00:00,17.3,1820.28,1830,20.2 ,5.1,0.01,61,0.8
2006-06-09 00:00:00,17.7,1820.25,1800,16.6 ,6.1,1.43,79,0.9
2006-06-10 00:00:00,17.3,1820.43,1990,14.1 ,4.1,0.43,90,0
2006-06-11 00:00:00,17.1,1820.59,2170,17.8 ,3.4,0.01,78,1.5
2006-06-12 00:00:00,16.9,1820.64,2220,20.2 ,7,0,65,7
2006-06-13 00:00:00,16.7,1820.88,2510,19.6 ,6.6,0,55,6.8
2006-06-14 00:00:00,16.3,1820.9,2520,19.1 ,3.9,0.06,61,5.4
2006-06-15 00:00:00,16.3,1821.01,2660,20.2 ,8,0,54,8.6
2006-06-16 00:00:00,15.9,1821.11,2760,21.8 ,7.8,0,43,11.7
2006-06-17 00:00:00,15.5,1821.04,2690,19.5 ,4.6,0.29,57,6.1
2006-06-18 00:00:00,15.7,1820.92,2540,18.4 ,4.9,0.03,75,5.2
2006-06-19 00:00:00,15.9,1820.91,2530,17.2 ,2.4,0.25,84,0.9
2006-06-20 00:00:00,16.1,1820.88,2510,19.7 ,2.7,0.05,72,5.9
2006-06-21 00:00:00,16.5,1820.8,2410,19.5 ,4.4,0.05,66,6.9
2006-06-22 00:00:00,16.5,1820.72,2320,21.1 ,5.3,0.06,61,9.9
2006-06-23 00:00:00,17.1,1820.64,2220,16.1 ,3.2,0.32,83,1.3
2006-06-24 00:00:00,17.5,1820.92,2550,16.4 ,2.7,0.33,85,1.6
2006-06-25 00:00:00,17.1,1821.05,2700,19.0 ,2.9,0.01,69,7.6
2006-06-26 00:00:00,16.5,1820.92,2550,19.6 ,2.9,0.17,72,5.3
2006-06-27 00:00:00,16.5,1820.67,2260,20.3 ,4.1,0.16,71,6.6
2006-06-28 00:00:00,16.7,1820.51,2080,21.9 ,5.1,0,61,10.9
2006-06-29 00:00:00,17.1,1820.36,1920,20.8 ,3.2,0,58,9.2
2006-06-30 00:00:00,17.5,1820.31,1860,19.9 ,4.4,0.91,74,6.5
2006-07-01 00:00:00,17.7,1820.25,1800,19.0 ,3.4,0.06,81,4.8
2006-07-02 00:00:00,18.1,1820.23,1780,19.3 ,3.9,0.43,84,2.7
2006-07-03 00:00:00,18.5,1820.16,1700,21.2 ,4.6,0,71,8
2006-07-04 00:00:00,18.7,1820.14,1680,18.6 ,3.9,1.27,78,2.7
