site,site_id,ok,wtemp_cov,flow_cov,wtemp_cov_test,flow_cov_test,wlevel_cov,n_days,station_nm,lat,lon,state
14161500,n00,True,0.581,1.0,1.0,1.0,0.0,5479,"LOOKOUT CREEK NEAR BLUE RIVER, OR",44.2095708,-122.256733,OR
14159500,n01,True,0.999,1.0,1.0,1.0,0.0,5479,"SOUTH FORK MCKENZIE RIVER NEAR RAINBOW, OR",44.13595817,-122.248391,OR
07106000,n02,True,0.862,1.0,0.841,1.0,0.0,5479,"FOUNTAIN CREEK NEAR FOUNTAIN, CO.",38.6016647,-104.6702503,CO
07178200,n03,True,0.909,1.0,0.984,1.0,0.0,5479,"Bird Ck at State Highway 266 near Catoosa, OK",36.2231514,-95.8194322,OK
08052700,n04,True,0.666,1.0,0.953,1.0,0.998,5479,"Little Elm Ck nr Aubrey, TX",33.28344977,-96.8927805,TX
09136100,n05,True,0.774,0.781,1.0,1.0,0.0,5479,"NORTH FK GUNNISON RIVER ABOVE MOUTH NR LAZEAR, CO",38.78516667,-107.8334167,CO
13342500,n06,True,0.993,1.0,1.0,1.0,0.0,5479,CLEARWATER RIVER AT SPALDING ID,46.4483333,-116.8275,ID
03077500,n07,True,0.845,0.75,0.96,1.0,0.0,5479,"Youghiogheny River at Youghiogheny River Dam, PA",39.80535485,-79.3642019,PA
02334885,n08,True,0.988,1.0,0.995,1.0,0.985,5479,"SUWANEE CREEK AT SUWANEE, GA",34.0325,-84.08888889,GA
12056500,n09,True,0.62,1.0,0.986,1.0,0.999,5479,"NF SKOKOMISH R BL STAIRCASE RPDS NR HOODSPORT, WA",47.51425666,-123.3298868,WA
08065350,n10,True,0.932,1.0,0.889,1.0,0.977,5479,"Trinity Rv nr Crockett, TX",31.33851319,-95.6563407,TX
11507500,n11,True,0.985,1.0,0.993,1.0,0.0,5479,"LINK RIVER AT KLAMATH FALLS, OR",42.22347795,-121.7941708,OR
01426500,n12,True,0.997,1.0,1.0,1.0,0.0,5479,WEST BRANCH DELAWARE RIVER AT HALE EDDY NY,42.00302778,-75.38352778,NY
14152000,n13,True,0.99,1.0,1.0,1.0,0.0,5479,"MIDDLE FORK WILLAMETTE RIVER AT JASPER, OR",43.99818166,-122.9059126,OR
12210700,n14,True,0.835,1.0,1.0,1.0,0.999,5479,"NOOKSACK RIVER AT NORTH CEDARVILLE, WA",48.84174,-122.2943049,WA
09144250,n15,True,0.762,1.0,0.985,1.0,0.0,5479,"GUNNISON RIVER AT DELTA, CO",38.75303944,-108.078403,CO
05054000,n16,True,0.954,1.0,0.94,1.0,0.99,5479,"RED RIVER OF THE NORTH AT FARGO, ND",46.861111,-96.783333,ND
12398600,n17,True,0.937,1.0,0.922,1.0,0.0,5479,PEND OREILLE RIVER AT INTERNATIONAL BOUNDARY,48.99881409,-117.3535794,WA
07332622,n18,True,0.68,0.772,0.978,1.0,0.761,5479,"Bois D'Arc Ck at FM 409 nr Honey Grove, TX",33.74416667,-95.9611111,TX
04125460,n19,True,0.985,1.0,0.967,1.0,0.0,5479,"PINE RIVER AT HIGH SCHOOL BRIDGE NR HOXEYVILLE, MI",44.19334009,-85.7697863,MI
02458450,n20,True,0.995,1.0,0.999,1.0,0.996,5479,"VILLAGE CREEK AT AVENUE W AT ENSLEY, AL",33.5176481,-86.87915889,AL
02110701,n21,True,0.927,0.839,0.996,0.952,0.369,5479,"CRABTREE SWAMP AT CONWAY, SC",33.86100349,-79.0411471,SC
14320934,n22,True,0.866,0.889,0.943,1.0,0.0,5479,"LITTLE WOLF CREEK NEAR TYEE, OR",43.43122665,-123.5867573,OR
