candidate,reference,horizon,site_id,effect
DampedPriorOnly,Persistence,1,01073319,-0.03667574064133983
DampedPriorOnly,Persistence,1,01104415,-0.06894257489451627
DampedPriorOnly,Persistence,1,01104455,-0.03176224634687608
DampedPriorOnly,Persistence,1,01104475,-0.032099102435260485
DampedPriorOnly,Persistence,1,01129500,-0.035587098446097754
DampedPriorOnly,Persistence,1,01400500,-0.03788850744838612
DampedPriorOnly,Persistence,1,01408029,-0.049884856351413154
DampedPriorOnly,Persistence,1,01425000,-0.01024625046112232
DampedPriorOnly,Persistence,1,01426500,-0.0311763552589992
DampedPriorOnly,Persistence,1,01427207,-0.036133305048474895
DampedPriorOnly,Persistence,1,01428500,-0.028571608114503433
DampedPriorOnly,Persistence,1,01463500,-0.02328808269738558
DampedPriorOnly,Persistence,1,01480617,-0.045249202476816075
DampedPriorOnly,Persistence,1,01540500,-0.022500831877334537
DampedPriorOnly,Persistence,1,01542500,-0.033137904869637635
DampedPriorOnly,Persistence,1,01549700,-0.03172278829225961
DampedPriorOnly,Persistence,1,02110701,-0.0353132924665438
DampedPriorOnly,Persistence,1,02176930,-0.03650318753421966
DampedPriorOnly,Persistence,1,02266300,-0.015677008967620698
DampedPriorOnly,Persistence,1,02330450,-0.03964546372242783
DampedPriorOnly,Persistence,1,02334430,0.011655495820799777
DampedPriorOnly,Persistence,1,02334885,-0.03014452476200491
DampedPriorOnly,Persistence,1,02336120,-0.04018839349070413
DampedPriorOnly,Persistence,1,02336300,-0.04174546811298363
DampedPriorOnly,Persistence,1,02336728,0.07552007281048179
DampedPriorOnly,Persistence,1,02397000,-0.020109050377539295
DampedPriorOnly,Persistence,1,02455980,-0.04377879560964981
DampedPriorOnly,Persistence,1,02458450,-0.03883534658282084
DampedPriorOnly,Persistence,1,02474560,-0.012819011612816178
DampedPriorOnly,Persistence,1,03007800,-0.036397260047078994
DampedPriorOnly,Persistence,1,03034000,-0.03939325330759558
DampedPriorOnly,Persistence,1,03036000,-0.022498454493977804
DampedPriorOnly,Persistence,1,03047000,-0.02209261220529657
DampedPriorOnly,Persistence,1,03077500,-0.024067439090607323
DampedPriorOnly,Persistence,1,03105500,-0.03187426024929929
DampedPriorOnly,Persistence,1,03106000,-0.03994600957999017
DampedPriorOnly,Persistence,1,03301900,-0.046446079549593566
DampedPriorOnly,Persistence,1,03353200,-0.04767793983724111
DampedPriorOnly,Persistence,1,03456991,-0.036910176783673476
