arm,site_id,horizon,n,rmse,rmse_damped,lat,lon,nearest_km
random,01073319,1,970,0.6105493377649136,0.8651951495260531,43.04138889,-71.2016667,74.57772394423533
random,01073319,3,964,1.537887731230528,1.6954784612224687,43.04138889,-71.2016667,74.57772394423533
random,01073319,7,954,1.846951613917913,1.9502008964462099,43.04138889,-71.2016667,74.57772394423533
random,01104415,1,961,0.9586287592969635,1.0998904634706421,42.43592855,-71.2600567,7.092632447101872
random,01104415,3,950,1.5600406432374647,1.6189239592233977,42.43592855,-71.2600567,7.092632447101872
random,01104415,7,939,1.6789708457899213,1.714801669588012,42.43592855,-71.2600567,7.092632447101872
random,01104455,1,848,0.93161772530333,1.068682552072834,42.37259606,-71.27033448,2.0159393132116468
random,01104455,3,843,1.5296427429029766,1.5862934765408012,42.37259606,-71.27033448,2.0159393132116468
random,01104455,7,835,1.7217765259163973,1.7881272119187592,42.37259606,-71.27033448,2.0159393132116468
random,01104475,1,1086,0.820421131697329,0.972292717855064,42.3545408,-71.2681121,2.0159393132116468
random,01104475,3,1081,1.5242996206036394,1.5903798128180553,42.3545408,-71.2681121,2.0159393132116468
random,01104475,7,1076,1.7310120532147066,1.7982501675804587,42.3545408,-71.2681121,2.0159393132116468
random,01129500,1,1094,0.6247761946394497,0.830580774703894,44.74977166,-71.63120018,193.05532522799453
random,01129500,3,1092,1.420674716600971,1.5294140727914056,44.74977166,-71.63120018,193.05532522799453
random,01129500,7,1088,1.7447863557017493,1.7296505995210765,44.74977166,-71.63120018,193.05532522799453
random,01400500,1,979,0.6932499939652262,1.0138234584986572,40.55555556,-74.58277778,59.91940122128607
random,01400500,3,955,1.7613817583785878,1.8970121199155332,40.55555556,-74.58277778,59.91940122128607
random,01400500,7,952,2.085522289384934,2.1918352181266987,40.55555556,-74.58277778,59.91940122128607
random,01408029,1,891,0.8314636365099889,1.1328330084648963,40.14666667,-74.12222222,56.33366859518447
random,01408029,3,877,1.784811000378778,1.9367432991474924,40.14666667,-74.12222222,56.33366859518447
random,01408029,7,856,1.9894157097370526,2.064191359089246,40.14666667,-74.12222222,56.33366859518447
random,01425000,1,1072,0.4602848263913176,0.41446831825463926,42.07491667,-75.3958056,8.057729048745935
random,01425000,3,1065,0.8786594630974188,0.7178773089858194,42.07491667,-75.3958056,8.057729048745935
random,01425000,7,1056,1.120175270120515,0.9295271283921483,42.07491667,-75.3958056,8.057729048745935
random,01426500,1,932,0.7796841465349875,0.8161686494034504,42.00302778,-75.38352778,8.057729048745935
random,01426500,3,926,1.183156417715823,1.2447297729437687,42.00302778,-75.38352778,8.057729048745935
random,01426500,7,914,1.3526927035280876,1.4215717130158194,42.00302778,-75.38352778,8.057729048745935
random,01427207,1,1076,0.6804364596158521,0.9125108056031253,41.86727778,-75.21375,20.617353584831523
random,01427207,3,1070,1.4964396976655001,1.659952791887543,41.86727778,-75.21375,20.617353584831523
random,01427207,7,1063,1.8644881386368126,1.9220852282924805,41.86727778,-75.21375,20.617353584831523
random,01428500,1,1066,0.5672684418693271,0.8342469726889116,41.50875,-74.9860556,44.12273259973213
random,01428500,3,1059,1.5308112803640888,1.7305569858595156,41.50875,-74.9860556,44.12273259973213
random,01428500,7,1054,2.053910637004306,2.1841595216054865,41.50875,-74.9860556,44.12273259973213
random,01435000,1,12,1.0830501003203803,0.712170415137224,41.88994444,-74.5898056,51.71855595577281
random,01435000,3,7,2.8075205885445462,2.5851945782339687,41.88994444,-74.5898056,51.71855595577281
random,01435000,7,1,4.799248051449602,4.136505126953125,41.88994444,-74.5898056,51.71855595577281
random,01463500,1,1075,0.4810408087829713,0.6989113935416192,40.22166667,-74.77805556,56.33366859518447
random,01463500,3,1070,1.3185705494068187,1.5019591885039205,40.22166667,-74.77805556,56.33366859518447
random,01463500,7,1062,1.7922426420321815,1.9291789429757094,40.22166667,-74.77805556,56.33366859518447
random,01480617,1,1085,0.8142290089362573,1.064215731770837,39.9617734,-75.8013341,130.61864636571306
random,01480617,3,1080,1.6686202729808217,1.8170770378506829,39.9617734,-75.8013341,130.61864636571306
random,01480617,7,1076,1.875079976145235,1.9777178238676878,39.9617734,-75.8013341,130.61864636571306
random,01540500,1,930,0.45029371968529064,0.6301199993375718,40.95814218,-76.6191222,68.69114318850565
random,01540500,3,923,1.2178375043976315,1.386601248453056,40.95814218,-76.6191222,68.69114318850565
random,01540500,7,911,1.8381761662597373,1.904140964121197,40.95814218,-76.6191222,68.69114318850565
random,01542500,1,1087,0.6427296263773546,0.9101626774290246,41.11755906,-78.108896,67.91656532861874
random,01542500,3,1082,1.5931312382605285,1.7910236342707007,41.11755906,-78.108896,67.91656532861874
random,01542500,7,1078,2.0231870380459327,2.117164954722746,41.11755906,-78.108896,67.91656532861874
random,01549700,1,1081,0.6869513657934806,0.956641500685946,41.27361657,-77.3241186,67.91656532861874
random,01549700,3,1075,1.6952425078260431,1.893338383909806,41.27361657,-77.3241186,67.91656532861874
random,01549700,7,1068,2.183007211426677,2.2634441724956353,41.27361657,-77.3241186,67.91656532861874
random,01608500,1,10,0.6092701538698583,0.6093477002071963,39.44703879,-78.6541817,72.69936866860148
random,01608500,3,8,1.6194868265705242,1.2917620968184131,39.44703879,-78.6541817,72.69936866860148
random,01608500,7,4,1.0997182276473707,1.0698236370392493,39.44703879,-78.6541817,72.69936866860148
random,02110701,1,1049,0.6956748569756696,1.0301869304956057,33.86100349,-79.0411471,393.73334595302407
random,02110701,3,1047,1.7818328494666111,1.947188651861694,33.86100349,-79.0411471,393.73334595302407
random,02110701,7,1037,2.16514453090693,2.2268532913582213,33.86100349,-79.0411471,393.73334595302407
random,02176930,1,1053,0.8180135531834061,1.0132876443574677,34.97452778,-83.1161667,56.17536475540559
random,02176930,3,1048,1.6702655821555623,1.8070114955945131,34.97452778,-83.1161667,56.17536475540559
random,02176930,7,1040,1.936429833013504,2.0290809258671567,34.97452778,-83.1161667,56.17536475540559
random,02266300,1,1083,0.6365110992123525,0.8680007952330923,28.33278738,-81.579796,267.6455852764977
random,02266300,3,1078,1.444350615585559,1.610234289113458,28.33278738,-81.579796,267.6455852764977
random,02266300,7,1072,1.7456549983387144,1.878629124658557,28.33278738,-81.579796,267.6455852764977
random,02330450,1,1064,0.8047175845377976,0.9585154434120784,34.7009722,-83.72925,20.318417141351535
random,02330450,3,1058,1.5362930780050206,1.6383679054771474,34.7009722,-83.72925,20.318417141351535
random,02330450,7,1050,1.7611160690601113,1.8203129743340534,34.7009722,-83.72925,20.318417141351535
random,02334430,1,1094,0.26901406663618826,0.22301047998884405,34.15666667,-84.0784167,13.840337525425486
random,02334430,3,1092,0.3959217898400398,0.3621549223797569,34.15666667,-84.0784167,13.840337525425486
random,02334430,7,1088,0.6400708185440683,0.6094263811762219,34.15666667,-84.0784167,13.840337525425486
random,02334885,1,1094,0.6078874720934352,0.9371071726572936,34.0325,-84.08888889,13.840337525425486
random,02334885,3,1092,1.637600022930673,1.820788986580413,34.0325,-84.08888889,13.840337525425486
random,02334885,7,1088,2.0127385642593567,2.1011299147507176,34.0325,-84.08888889,13.840337525425486
random,02336120,1,1086,0.7537088841870846,1.0830796743129427,33.83155556,-84.3427778,6.1206281097623325
random,02336120,3,1082,1.774101519206834,1.9413370003366928,33.83155556,-84.3427778,6.1206281097623325
random,02336120,7,1080,2.1158640019158224,2.1758061280023955,33.83155556,-84.3427778,6.1206281097623325
random,02336300,1,1090,0.7847899370926085,1.1122901391520974,33.82030556,-84.40763889,6.1206281097623325
random,02336300,3,1086,1.8020232889373293,1.9973091119049318,33.82030556,-84.40763889,6.1206281097623325
random,02336300,7,1082,2.1621088282110335,2.253682235221023,33.82030556,-84.40763889,6.1206281097623325
random,02336728,1,1085,0.6908714721823349,0.8059388180339334,33.74352778,-84.5681667,23.01449372526782
random,02336728,3,1080,1.580565024132886,1.5757061574641826,33.74352778,-84.5681667,23.01449372526782
random,02336728,7,1076,2.130972247405255,2.3250434712380654,33.74352778,-84.5681667,23.01449372526782
random,02397000,1,1088,0.4574444459679042,0.63201559864793,34.2005,-85.25641667,81.3016767041595
random,02397000,3,1087,1.1575451554388618,1.3122262039339834,34.2005,-85.25641667,81.3016767041595
random,02397000,7,1082,1.531963239248499,1.6512573237427461,34.2005,-85.25641667,81.3016767041595
random,02455980,1,1051,0.7852965383794094,0.9784108054948517,33.71121273,-86.6961013,143.49774278158628
random,02455980,3,1039,1.470660783372767,1.6016430785049218,33.71121273,-86.6961013,143.49774278158628
random,02455980,7,1029,1.7482284292014771,1.7723548396570505,33.71121273,-86.6961013,143.49774278158628
random,02458450,1,1091,0.7884975179821239,0.9871112749056633,33.5176481,-86.87915889,167.97679510715872
random,02458450,3,1088,1.5206618585257015,1.6600251131210997,33.5176481,-86.87915889,167.97679510715872
random,02458450,7,1084,1.8386096779897834,1.8998197588130483,33.5176481,-86.87915889,167.97679510715872
random,02474560,1,1086,0.5369032525675285,0.7802506408098272,31.22166667,-89.0530556,485.6067672474321
random,02474560,3,1082,1.467367059680631,1.6686420854121184,31.22166667,-89.0530556,485.6067672474321
random,02474560,7,1074,2.2534910597937405,2.321535463269193,31.22166667,-89.0530556,485.6067672474321
random,03007800,1,1087,0.7500349160272984,1.0285713766964404,41.81867578,-78.29279129,100.85450869952119
random,03007800,3,1082,1.7682894709332908,1.9115785182768563,41.81867578,-78.29279129,100.85450869952119
random,03007800,7,1078,2.1369581344902193,2.186154441381454,41.81867578,-78.29279129,100.85450869952119
random,03034000,1,1060,0.7983068912690694,1.1005711431063088,40.93923105,-79.00836738,23.790493282830138
random,03034000,3,1058,1.8067409202678046,2.0156202600659485,40.93923105,-79.00836738,23.790493282830138
random,03034000,7,1054,2.1351976290718997,2.2686280053298873,40.93923105,-79.00836738,23.790493282830138
random,03036000,1,1079,0.531934370330161,0.49900397432382865,40.9275653,-79.2911508,23.790493282830138
random,03036000,3,1074,1.0431783405695434,1.056482290743322,40.9275653,-79.2911508,23.790493282830138
random,03036000,7,1070,1.4396602160616006,1.5085940797209514,40.9275653,-79.2911508,23.790493282830138
random,03047000,1,1090,0.5845837124856784,0.6174958319519243,40.45888889,-79.4494444,53.796068594102806
random,03047000,3,1088,1.2755405249503322,1.4222589399185201,40.45888889,-79.4494444,53.796068594102806
random,03047000,7,1085,1.7801288149451961,1.9849489636007447,40.45888889,-79.4494444,53.796068594102806
random,03077500,1,1024,0.2980158126731503,0.23720200932554325,39.80535485,-79.3642019,72.69936866860148
random,03077500,3,1019,0.5513809080439636,0.4329552873554376,39.80535485,-79.3642019,72.69936866860148
random,03077500,7,1010,0.7659925144870711,0.6215186391613529,39.80535485,-79.3642019,72.69936866860148
random,03105500,1,1086,0.6978376318506442,0.9715499067834682,40.88867389,-80.3370083,87.99626704502228
random,03105500,3,1082,1.6412206336524005,1.8813453506340985,40.88867389,-80.3370083,87.99626704502228
random,03105500,7,1078,2.0518432319069086,2.1926766187990685,40.88867389,-80.3370083,87.99626704502228
random,03106000,1,1041,0.7233818122509698,1.0850985520420582,40.8170092,-80.2422837,80.91231621362806
random,03106000,3,1034,1.8512421921308735,2.1216027955415995,40.8170092,-80.2422837,80.91231621362806
random,03106000,7,1023,2.3125662679289483,2.446528858944922,40.8170092,-80.2422837,80.91231621362806
random,03301900,1,1068,0.9221918645038516,1.1565853684336038,38.1756242,-85.615237,204.62590406359996
random,03301900,3,1063,1.7922610806272046,1.912289756166596,38.1756242,-85.615237,204.62590406359996
random,03301900,7,1055,2.0236844620851215,2.1254909081850277,38.1756242,-85.615237,204.62590406359996
random,03353200,1,1073,0.8442032238000786,1.1910193225578831,39.94642217,-86.260249,153.85615201546517
random,03353200,3,1070,1.9466739368809636,2.156132840858071,39.94642217,-86.260249,153.85615201546517
random,03353200,7,1066,2.2977625229984917,2.401282823087195,39.94642217,-86.260249,153.85615201546517
random,03456991,1,1077,0.7733477938691644,0.9675275074802406,35.52194444,-82.8480556,65.55839566772998
random,03456991,3,1069,1.519402259791473,1.676450964191785,35.52194444,-82.8480556,65.55839566772998
random,03456991,7,1060,1.8342600953621446,1.9337604485291087,35.52194444,-82.8480556,65.55839566772998
random,04027000,1,1061,0.663802551252593,0.9574089188706634,46.4866144,-90.696297,59.92976224081903
random,04027000,3,1054,1.6161231731635162,1.79725618583666,46.4866144,-90.696297,59.92976224081903
random,04027000,7,1047,1.9923109006167103,2.116484509446925,46.4866144,-90.696297,59.92976224081903
random,04043238,1,1081,0.7884468393185933,0.9262041542265627,46.78214818,-87.8776299,1.9660966507268771
random,04043238,3,1076,1.4551525163368257,1.5230387915322627,46.78214818,-87.8776299,1.9660966507268771
random,04043238,7,1071,1.751973117847345,1.7576481164811935,46.78214818,-87.8776299,1.9660966507268771
random,04043244,1,1083,0.7905510264951319,0.9157555791030636,46.7857589,-87.8523522,1.9660966507268771
random,04043244,3,1079,1.4101268136201945,1.4606398604322328,46.7857589,-87.8523522,1.9660966507268771
random,04043244,7,1071,1.6727839404354654,1.6724304966842742,46.7857589,-87.8523522,1.9660966507268771
random,04067500,1,1050,0.4649388896661099,0.6059700776541097,45.3258333,-87.6633333,162.77679833200708
random,04067500,3,1042,1.2222224892513642,1.294167959976142,45.3258333,-87.6633333,162.77679833200708
random,04067500,7,1028,1.7185532052156174,1.8571845395615016,45.3258333,-87.6633333,162.77679833200708
random,04077630,1,1094,0.6515013293762397,0.8764187198069713,44.8980311,-88.8442729,175.54867967289738
random,04077630,3,1092,1.5068478272681272,1.654530638118966,44.8980311,-88.8442729,175.54867967289738
random,04077630,7,1088,1.8526262489124083,1.9832163909995628,44.8980311,-88.8442729,175.54867967289738
random,04124200,1,1092,0.27757877308385825,0.20695469355007853,44.3630596,-85.820905,19.305753042586385
random,04124200,3,1090,0.6041823142528436,0.4735164488252994,44.3630596,-85.820905,19.305753042586385
random,04124200,7,1086,0.8560639435317212,0.8642652507215594,44.3630596,-85.820905,19.305753042586385
random,04125460,1,1089,0.5652999305725428,0.7359084803850274,44.19334009,-85.7697863,19.305753042586385
random,04125460,3,1085,1.3059625841916755,1.3795260220539198,44.19334009,-85.7697863,19.305753042586385
random,04125460,7,1080,1.588909356109454,1.6082394812560001,44.19334009,-85.7697863,19.305753042586385
random,04137005,1,1091,0.36560938157536654,0.3695113567805418,44.56084749,-83.802764,161.58081812775816
random,04137005,3,1088,0.8596770199826747,0.8490237251864143,44.56084749,-83.802764,161.58081812775816
random,04137005,7,1084,1.3164937619431905,1.4087113734566759,44.56084749,-83.802764,161.58081812775816
random,04176500,1,1087,0.46148215708844026,0.6537447658164659,41.9605671,-83.5309896,169.9361821637188
random,04176500,3,1083,1.2900940831569654,1.4471285030456005,41.9605671,-83.5309896,169.9361821637188
random,04176500,7,1076,1.871736704752664,2.063577403689685,41.9605671,-83.5309896,169.9361821637188
random,04208000,1,1040,0.6611634607174063,0.9624788763054081,41.39533087,-81.6298478,122.04048613665948
random,04208000,3,1021,1.6219621793607526,1.8177852489506663,41.39533087,-81.6298478,122.04048613665948
random,04208000,7,1008,1.9877973318333078,2.1028106357638925,41.39533087,-81.6298478,122.04048613665948
random,05054000,1,1076,0.36195917268972927,0.4145500671493766,46.861111,-96.783333,350.8921951301269
random,05054000,3,1068,1.0136148769992026,0.9738217249664135,46.861111,-96.783333,350.8921951301269
random,05054000,7,1058,1.7145355843184071,1.6057897410353075,46.861111,-96.783333,350.8921951301269
random,05057000,1,1067,0.5402810371450545,0.7779405164048517,47.432778,-98.027222,464.3568676871779
random,05057000,3,1062,1.4794400401313372,1.6039222780316638,47.432778,-98.027222,464.3568676871779
random,05057000,7,1052,2.0635009692257884,2.0713425091519366,47.432778,-98.027222,464.3568676871779
random,05289800,1,887,0.7314197170869712,0.8424269030289553,44.91550278,-93.21293889,77.10045408809405
random,05289800,3,861,1.5268389217919571,1.5970930547277855,44.91550278,-93.21293889,77.10045408809405
random,05289800,7,832,1.9498643496240626,2.0760014962909143,44.91550278,-93.21293889,77.10045408809405
random,05331833,1,1042,0.815815967191914,0.930185949353233,46.1713687,-91.3293778,59.92976224081903
random,05331833,3,1034,1.499995394915031,1.5478205957721312,46.1713687,-91.3293778,59.92976224081903
random,05331833,7,1022,1.7579985349693255,1.7901665943519505,46.1713687,-91.3293778,59.92976224081903
random,05370000,1,1091,0.43947796177333087,0.4467531152014852,44.85277778,-92.2383333,77.10045408809405
random,05370000,3,1088,0.9366414224884194,0.8918542115231503,44.85277778,-92.2383333,77.10045408809405
random,05370000,7,1084,1.208529972124623,1.28496190411199,44.85277778,-92.2383333,77.10045408809405
random,05382255,1,1094,0.6391872767218153,0.6965658775536036,43.99388889,-90.6572222,127.96246877592006
random,05382255,3,1092,1.1435386811228518,1.1875986236938656,43.99388889,-90.6572222,127.96246877592006
random,05382255,7,1088,1.4424034073253749,1.4367135233418153,43.99388889,-90.6572222,127.96246877592006
random,05382257,1,1085,1.3198460013831972,1.3471896774153633,44.00055556,-90.6811111,129.7650727153726
random,05382257,3,1082,1.8133582331510356,1.82045473758501,44.00055556,-90.6811111,129.7650727153726
random,05382257,7,1078,1.9228675596332976,1.9131220387690975,44.00055556,-90.6811111,129.7650727153726
random,05406457,1,996,0.7741762186812621,0.7764128737480948,43.1097222,-89.6408333,127.96246877592006
random,05406457,3,983,1.1443876970761813,1.137408028446832,43.1097222,-89.6408333,127.96246877592006
random,05406457,7,971,1.2949249606255047,1.3029908585697862,43.1097222,-89.6408333,127.96246877592006
random,05458300,1,1060,0.6288667285652014,0.9239533579420476,42.7372222,-92.4700917,201.5968094750702
random,05458300,3,1050,1.7227386804180014,1.9144530219325706,42.7372222,-92.4700917,201.5968094750702
random,05458300,7,1038,2.2827984030439805,2.424606699710007,42.7372222,-92.4700917,201.5968094750702
random,05517000,1,1094,0.6584616468407776,0.9506732069180874,41.30279685,-86.62053829,153.85615201546517
random,05517000,3,1092,1.6883074253956833,1.8962859107626342,41.30279685,-86.62053829,153.85615201546517
random,05517000,7,1088,2.168468492724384,2.2893613910148143,41.30279685,-86.62053829,153.85615201546517
random,06036805,1,1091,0.8489030744320907,0.9050931974135019,44.4593333,-110.8222722,18.181766752054493
random,06036805,3,1088,1.3737727151341115,1.4184425153488662,44.4593333,-110.8222722,18.181766752054493
random,06036805,7,1084,1.5312859006682824,1.5700724705603781,44.4593333,-110.8222722,18.181766752054493
random,06036905,1,1094,0.9729795380153954,1.0545068283459427,44.6201833,-110.8635028,17.255154460800174
random,06036905,3,1092,1.7087880900765147,1.723453101567283,44.6201833,-110.8635028,17.255154460800174
random,06036905,7,1088,1.8549588798400873,1.9060749872148708,44.6201833,-110.8635028,17.255154460800174
random,06036940,1,1092,1.123699032350066,1.1910774372968416,44.732725,-110.7132528,17.255154460800174
random,06036940,3,1090,1.7251700867997366,1.8609314032674245,44.732725,-110.7132528,17.255154460800174
random,06036940,7,1086,1.9774242732150036,2.2330059968197062,44.732725,-110.7132528,17.255154460800174
random,06041000,1,1066,0.4195838532508992,0.5241854547320033,45.490231,-111.634506,114.13649169398718
random,06041000,3,1059,1.0282780534826064,1.1488828919866125,45.490231,-111.634506,114.13649169398718
random,06041000,7,1056,1.5169699435868007,1.626303817862632,45.490231,-111.634506,114.13649169398718
random,06623800,1,925,0.5862533767845056,0.5929629152272327,41.02356508,-106.8248049,214.33832923285846
random,06623800,3,920,0.8396633394724088,0.8309683145333414,41.02356508,-106.8248049,214.33832923285846
random,06623800,7,912,1.1221664751452067,0.9214317813903994,41.02356508,-106.8248049,214.33832923285846
random,06894000,1,1072,0.5833439587943632,0.8872086983130341,39.1005609,-94.3005038,251.42159768886808
random,06894000,3,1064,1.5866544819983397,1.800505293174668,39.1005609,-94.3005038,251.42159768886808
random,06894000,7,1057,2.1239413995528373,2.2765519833784973,39.1005609,-94.3005038,251.42159768886808
random,06934500,1,887,0.3653613166549987,0.47001982445632245,38.70980556,-91.4385,251.42159768886808
random,06934500,3,864,1.0242630818840572,1.091823269848303,38.70980556,-91.4385,251.42159768886808
random,06934500,7,840,1.5340587796153926,1.7154083206294215,38.70980556,-91.4385,251.42159768886808
random,07106000,1,896,1.2107338362367648,1.196796820750283,38.6016647,-104.6702503,296.4439231157447
random,07106000,3,866,1.8763941738169254,1.765179746351686,38.6016647,-104.6702503,296.4439231157447
random,07106000,7,844,1.8664124182185875,1.8323692479147822,38.6016647,-104.6702503,296.4439231157447
random,07178200,1,929,0.6363811990867322,0.8495885162372215,36.2231514,-95.8194322,142.84943026203587
random,07178200,3,907,1.536566983497394,1.6322200000173452,36.2231514,-95.8194322,142.84943026203587
random,07178200,7,893,2.052712570181681,2.131096718644856,36.2231514,-95.8194322,142.84943026203587
random,07194880,1,517,0.790076516860578,0.8392544129559155,36.2814592,-94.227997,142.84943026203587
random,07194880,3,513,1.2617052046425583,1.2918824246534455,36.2814592,-94.227997,142.84943026203587
random,07194880,7,505,1.4459866691532626,1.4216336864077328,36.2814592,-94.227997,142.84943026203587
random,07332622,1,878,0.9103545388580202,1.2079006447329053,33.74416667,-95.9611111,100.42315933885733
random,07332622,3,865,1.9231875175164581,2.129647262678944,33.74416667,-95.9611111,100.42315933885733
random,07332622,7,848,2.441377233332365,2.5027528882554,33.74416667,-95.9611111,100.42315933885733
random,08048000,1,850,0.6470071155869596,0.7935379898398505,32.76096337,-97.3325167,71.10653431002382
random,08048000,3,830,1.5386863238182635,1.5722434974526347,32.76096337,-97.3325167,71.10653431002382
random,08048000,7,799,2.0135429836946765,2.05948559945578,32.76096337,-97.3325167,71.10653431002382
random,08052700,1,789,1.1074009451544862,1.4494083301901115,33.28344977,-96.8927805,71.10653431002382
random,08052700,3,754,2.3568296366969936,2.5115664265006585,33.28344977,-96.8927805,71.10653431002382
random,08052700,7,736,2.8085418496072916,2.830418713168912,33.28344977,-96.8927805,71.10653431002382
random,08065350,1,913,0.5678771587747253,0.6692783980428594,31.33851319,-95.6563407,142.08448308106455
random,08065350,3,898,1.4683529887895306,1.5335192301520293,31.33851319,-95.6563407,142.08448308106455
random,08065350,7,874,2.3661013810999836,2.2939550088432243,31.33851319,-95.6563407,142.08448308106455
random,08070200,1,1050,0.6753952884562555,0.8660710237391259,30.14523056,-95.1246139,142.08448308106455
random,08070200,3,1037,1.674852232009038,1.7841548696529312,30.14523056,-95.1246139,142.08448308106455
random,08070200,7,1027,2.2743418554445016,2.3338347189841144,30.14523056,-95.1246139,142.08448308106455
random,08123850,1,767,0.9168228581185544,1.2421806359837104,32.05374399,-100.762052,331.40270771662864
random,08123850,3,754,2.105131840156023,2.20452508224025,32.05374399,-100.762052,331.40270771662864
random,08123850,7,735,2.494155119504983,2.513089430799933,32.05374399,-100.762052,331.40270771662864
