model,horizon,baseline,skill,station_rmse,baseline_station_rmse
Climatology,1,Persistence,-1.3826058874447595,1.8991719069182085,0.813173271645506
Climatology,1,DampedPersistence,-1.455265899755011,1.8991719069182085,0.7893397408576391
Climatology,3,Persistence,-0.14366512818440347,1.9016346963047797,1.6375577264367185
Climatology,3,DampedPersistence,-0.26769526060425664,1.9016346963047797,1.4538841678832246
Climatology,7,Persistence,0.1809879587600406,1.9032724667255008,2.201650788662053
Climatology,7,DampedPersistence,-0.04257018671812163,1.9032724667255008,1.7728121291136714
DampedPersistence,1,Persistence,0.03495080397056971,0.7893397408576391,0.813173271645506
DampedPersistence,1,Climatology,0.5927061795571658,0.7893397408576391,1.8991719069182085
DampedPersistence,3,Persistence,0.1096817028253696,1.4538841678832246,1.6375577264367185
DampedPersistence,3,Climatology,0.2111640444636858,1.4538841678832246,1.9016346963047797
DampedPersistence,7,Persistence,0.21751418550196877,1.7728121291136714,2.201650788662053
DampedPersistence,7,Climatology,0.040831857391215476,1.7728121291136714,1.9032724667255008
DampedPriorOnly,1,Persistence,0.03495080397056971,0.7893397408576391,0.813173271645506
DampedPriorOnly,1,DampedPersistence,0.0,0.7893397408576391,0.7893397408576391
DampedPriorOnly,1,Climatology,0.5927061795571658,0.7893397408576391,1.8991719069182085
DampedPriorOnly,3,Persistence,0.1096817028253696,1.4538841678832246,1.6375577264367185
DampedPriorOnly,3,DampedPersistence,0.0,1.4538841678832246,1.4538841678832246
DampedPriorOnly,3,Climatology,0.2111640444636858,1.4538841678832246,1.9016346963047797
DampedPriorOnly,7,Persistence,0.21751418550196877,1.7728121291136714,2.201650788662053
DampedPriorOnly,7,DampedPersistence,0.0,1.7728121291136714,1.7728121291136714
DampedPriorOnly,7,Climatology,0.040831857391215476,1.7728121291136714,1.9032724667255008
LSTM,1,Persistence,0.18085092645691292,0.6630254200031709,0.813173271645506
LSTM,1,DampedPersistence,0.15005846670381573,0.6630254200031709,0.7893397408576391
LSTM,1,Climatology,0.6580132675906861,0.6630254200031709,1.8991719069182085
LSTM,3,Persistence,0.1720476452557223,1.3576050246193827,1.6375577264367185
LSTM,3,DampedPersistence,0.05520945482797279,1.3576050246193827,1.4538841678832246
LSTM,3,Climatology,0.2688067500551296,1.3576050246193827,1.9016346963047797
LSTM,7,Persistence,0.24412458568546874,1.7122487506947952,2.201650788662053
LSTM,7,DampedPersistence,0.0281981064405335,1.7122487506947952,1.7728121291136714
LSTM,7,Climatology,0.076674743771047,1.7122487506947952,1.9032724667255008
LSTM-ext,1,Persistence,0.1860998989009734,0.6504190438809783,0.813173271645506
LSTM-ext,1,DampedPersistence,0.15402811345818163,0.6504190438809783,0.7893397408576391
LSTM-ext,1,Climatology,0.6638310009540502,0.6504190438809783,1.8991719069182085
LSTM-ext,3,Persistence,0.14520843136641198,1.3934121197464573,1.6375577264367185
LSTM-ext,3,DampedPersistence,0.038277014754652894,1.3934121197464573,1.4538841678832246
LSTM-ext,3,Climatology,0.24742678578308397,1.3934121197464573,1.9016346963047797
LSTM-ext,7,Persistence,0.20357669061380845,1.8115873748698368,2.201650788662053
LSTM-ext,7,DampedPersistence,-0.01975454305107127,1.8115873748698368,1.7728121291136714
LSTM-ext,7,Climatology,0.024076174447192122,1.8115873748698368,1.9032724667255008
LightGBM,1,Persistence,0.2606667759730386,0.5891824395578037,0.813173271645506
LightGBM,1,DampedPersistence,0.2371751499186558,0.5891824395578037,0.7893397408576391
LightGBM,1,Climatology,0.7025794467583295,0.5891824395578037,1.8991719069182085
LightGBM,3,Persistence,0.1951648351704815,1.3036261307911041,1.6375577264367185
LightGBM,3,DampedPersistence,0.08149005889348204,1.3036261307911041,1.4538841678832246
LightGBM,3,Climatology,0.298462651363355,1.3036261307911041,1.9016346963047797
LightGBM,7,Persistence,0.24820484265444237,1.7346486203078126,2.201650788662053
LightGBM,7,DampedPersistence,0.030382808502268266,1.7346486203078126,1.7728121291136714
LightGBM,7,Climatology,0.09472054384742462,1.7346486203078126,1.9032724667255008
LightGBM-ext,1,Persistence,0.22060855846302263,0.6126943088195865,0.813173271645506
LightGBM-ext,1,DampedPersistence,0.1930148555996521,0.6126943088195865,0.7893397408576391
LightGBM-ext,1,Climatology,0.6841088586979139,0.6126943088195865,1.8991719069182085
LightGBM-ext,3,Persistence,0.15801475556569694,1.3462722014512791,1.6375577264367185
LightGBM-ext,3,DampedPersistence,0.04787583884241525,1.3462722014512791,1.4538841678832246
LightGBM-ext,3,Climatology,0.27033695984397643,1.3462722014512791,1.9016346963047797
LightGBM-ext,7,Persistence,0.20949085796870948,1.7838580667674475,2.201650788662053
LightGBM-ext,7,DampedPersistence,-0.012017033531778853,1.7838580667674475,1.7728121291136714
