site_no,status,conflict_days
01073319,OK,0
01104415,OK,0
01104455,OK,0
01104475,OK,0
01129500,OK,0
01400500,OK,0
01408029,OK,0
01425000,OK,0
01426500,OK,0
01427207,OK,0
01428500,OK,0
01435000,OK,1110
01463500,OK,0
01480617,OK,0
01540500,OK,0
01542500,OK,0
01549700,OK,0
01608500,OK,0
02110701,OK,0
02176930,OK,0
02266300,OK,0
02330450,OK,0
02334430,OK,0
02334885,OK,0
02336120,OK,0
02336300,OK,0
02336728,OK,0
02397000,OK,0
02455980,OK,0
02458450,OK,0
02474560,OK,0
03007800,OK,0
03034000,OK,0
03036000,OK,0
03047000,OK,0
03058000,NO_SERIES,0
03077500,OK,0
03105500,OK,0
03106000,OK,0
03301900,OK,0
03353200,OK,0
03456991,OK,0
03544970,NO_SERIES,0
04027000,OK,0
04043238,OK,0
04043244,OK,0
04067500,OK,0
04077630,OK,0
04124200,OK,0
04125460,OK,0
04137005,OK,0
04176500,OK,0
04208000,OK,0
05054000,OK,0
05057000,OK,0
05289800,OK,0
05331833,OK,0
05370000,OK,0
05382255,OK,0
05382257,OK,0
05406457,OK,0
05458300,OK,0
05517000,OK,0
06036805,OK,0
06036905,OK,0
06036940,OK,0
06041000,OK,0
06623800,OK,0
06894000,OK,0
06934500,OK,0
07106000,OK,0
07178200,OK,0
07194880,OK,0
07332622,OK,0
08048000,OK,0
08052700,OK,0
08065350,OK,0
08070200,OK,0
08123850,OK,0
09136100,OK,0
09144250,OK,0
09149500,OK,0
09163500,OK,0
09180000,OK,0
09261000,OK,0
09302000,OK,0
09380000,OK,0
10129900,OK,0
10301500,OK,0
10351600,OK,0
11262900,OK,0
11467000,OK,0
11507500,OK,0
12056500,OK,0
12115000,OK,0
12117600,OK,0
12210700,OK,0
12212050,OK,0
12213100,OK,0
12363000,OK,0
12398600,OK,0
13018350,OK,0
13154500,OK,0
13317660,OK,0
13342500,OK,0
14091500,OK,0
14150800,OK,0
14151000,OK,0
14152000,OK,0
14153500,OK,0
14154500,OK,0
14159500,OK,0
14161500,OK,0
14179000,OK,0
14185000,OK,0
14210000,OK,0
14211499,OK,0
14211500,OK,0
14320934,OK,0
255534081324000,OK,0
