model,horizon,rmse,mae,bias,n
Climatology,1,1.95088768959852,1.4573644031954782,-0.38405188738204515,120466
Climatology,3,1.9512384774314768,1.4575847387394336,-0.382198002407681,119654
Climatology,7,1.9531814400908756,1.459224587259128,-0.37968306066602314,118687
DampedPersistence,1,0.8014732158213306,0.5628193920952282,-0.034312873028367684,120466
DampedPersistence,3,1.4607318160967022,1.0534822569519893,-0.09178537455907403,119654
DampedPersistence,7,1.7632052202046908,1.2912991250680907,-0.1748423890765761,118687
DampedPriorOnly,1,0.8014732158213306,0.5628193920952282,-0.034312873028367684,120466
DampedPriorOnly,3,1.4607318160967022,1.0534822569519893,-0.09178537455907403,119654
DampedPriorOnly,7,1.7632052202046908,1.2912991250680907,-0.1748423890765761,118687
LSTM,1,0.6888218439506141,0.4945478825222272,-0.0062234160735501415,120466
LSTM,3,1.3725438544721742,1.005246143825238,-0.06337499519215532,119654
LSTM,7,1.7114782595131255,1.2607999647721408,-0.16427363726458372,118687
LSTM-ext,1,0.6802784638831215,0.48058367527724305,-0.007103738614881885,120466
LSTM-ext,3,1.401808533570428,1.0194300736985693,0.013755474999841318,119654
LSTM-ext,7,1.791097976207793,1.3247820423234027,-0.02972179228649266,118687
LightGBM,1,0.6067504309618963,0.42307160970460567,-0.027415916823142806,120466
LightGBM,3,1.337088228956285,0.965097341109053,-0.1097899632825349,119654
LightGBM,7,1.7113991421247698,1.2595804087705358,-0.20135744711046002,118687
LightGBM-ext,1,0.6383850425179394,0.4469660054694981,-0.0037435298010646337,120466
LightGBM-ext,3,1.3814059091531692,1.0000112463915571,-0.02383041357259662,119654
LightGBM-ext,7,1.7798157441435936,1.3091337109119594,-0.03983873485315487,118687
Persistence,1,0.8313900842668898,0.5757890209221523,-0.0009181014189050928,120466
Persistence,3,1.6483592942080505,1.171460211066045,-0.0031599444199344054,119654
Persistence,7,2.2415156481713936,1.6115952051082898,-0.01116887279893711,118687
TR-fixedKappa,1,0.6558558399194133,0.4598252811258371,0.014316730807018554,120466
TR-fixedKappa,3,1.344435777157877,0.9726340935651933,-0.04422759768966855,119654
TR-fixedKappa,7,1.6876713038279059,1.2365626427946284,-0.1295150148625236,118687
TR-noDynamicPrior,1,0.6558314399772015,0.45988433649718835,0.025921509290744556,120466
TR-noDynamicPrior,3,1.3445623482061777,0.9718986761367534,-0.02477072140807873,119654
TR-noDynamicPrior,7,1.6953686484985435,1.2422989012989674,-0.12108264114725563,118687
TR-noMoE,1,0.6633989044461683,0.468118591087826,0.001511346277515313,120466
TR-noMoE,3,1.3494353785049726,0.9765055832090723,-0.03495471343876863,119654
TR-noMoE,7,1.693229882515305,1.2394535115368432,-0.13107652006579473,118687
TR-noRouter,1,0.6646397582709617,0.4685495941947024,-0.01082435753976719,120466
TR-noRouter,3,1.3524314832819595,0.9804448640711527,-0.04522128992083415,119654
TR-noRouter,7,1.6926864078810941,1.240014885172934,-0.12999552459367725,118687
TR-noTCN,1,0.6974311045268152,0.49102216355004535,-0.01572097803020983,120466
TR-noTCN,3,1.3808374475039213,0.9986031583252654,-0.06304220424361538,119654
TR-noTCN,7,1.7146261839524248,1.2577116555418073,-0.16804733092958932,118687
TR-unbounded,1,0.6557134599464398,0.4632389712670395,0.006555873313962428,120466
TR-unbounded,3,1.3381314492131646,0.9715171961887287,-0.05835086952230708,119654
TR-unbounded,7,1.6825805580920374,1.2347654555343137,-0.13199193272524112,118687
ThermoRoute,1,0.6590374902869878,0.4629421753164863,0.013401549866091551,120466
ThermoRoute,3,1.3453183227474765,0.973857151536622,-0.03481577530520108,119654
ThermoRoute,7,1.6901525853139177,1.2383115231691668,-0.130642417563216,118687
ThermoRoute-ext,1,0.6562646206874947,0.4572262487789636,0.011702038160858592,120466
ThermoRoute-ext,3,1.4088766772105337,1.0145718236192558,-0.025925971132559854,119654
ThermoRoute-ext,7,1.8509847960219867,1.34917566002411,-0.0751592740098073,118687
