model,horizon,bin_low,bin_high,mean_forecast,observed_rate,n
DampedPriorOnly,1,0.1,0.2,0.12180586469984502,0.1338053890724354,120466
DampedPriorOnly,3,0.1,0.2,0.12247191436521995,0.13388603807645377,119654
DampedPriorOnly,7,0.1,0.2,0.124370771869432,0.13429440461044595,118687
LSTM,1,0.0,0.1,0.004596269577058523,0.005643909193907096,95324
LSTM,1,0.1,0.2,0.14658006192221296,0.17765733212887685,3321
LSTM,1,0.2,0.30000000000000004,0.24739522679455384,0.2738938053097345,2260
LSTM,1,0.30000000000000004,0.4,0.3475997570885197,0.3582089552238806,1876
LSTM,1,0.4,0.5,0.4485631554377009,0.4340659340659341,1820
LSTM,1,0.5,0.6000000000000001,0.5502408285338937,0.5349344978165939,1832
LSTM,1,0.6000000000000001,0.7000000000000001,0.6506668435229331,0.6241713411524732,1961
LSTM,1,0.7000000000000001,0.8,0.7513148823652519,0.7428571428571429,2310
LSTM,1,0.8,0.9,0.8534716412571403,0.8312605042016806,2975
LSTM,1,0.9,1.0,0.9618169122092181,0.9602180639457787,6787
LSTM,3,0.0,0.1,0.006765691178342783,0.007186813664731337,91974
LSTM,3,0.1,0.2,0.14550771285034955,0.17855570233377366,4542
LSTM,3,0.2,0.30000000000000004,0.24812551667691804,0.2711038961038961,3080
LSTM,3,0.30000000000000004,0.4,0.34917920497367433,0.3902993558165972,2639
LSTM,3,0.4,0.5,0.4496018151261102,0.48085631947303414,2429
LSTM,3,0.5,0.6000000000000001,0.5497018349366035,0.5637994292702813,2453
LSTM,3,0.6000000000000001,0.7000000000000001,0.6502208442200289,0.6444610778443114,2672
LSTM,3,0.7000000000000001,0.8,0.7509110476940755,0.7285457809694793,2785
LSTM,3,0.8,0.9,0.8510709702028466,0.8410054512416717,3302
LSTM,3,0.9,1.0,0.9495394887082256,0.9539438856537851,3778
LSTM,7,0.0,0.1,0.008979155577582646,0.010884522547316654,88658
LSTM,7,0.1,0.2,0.1454543907060446,0.15743028591599012,5666
LSTM,7,0.2,0.30000000000000004,0.24847852633267564,0.29910479199578727,3798
LSTM,7,0.30000000000000004,0.4,0.3503274784119679,0.3938053097345133,3390
LSTM,7,0.4,0.5,0.4501838047282972,0.4732753262896209,3218
LSTM,7,0.5,0.6000000000000001,0.5498035298003552,0.5564668769716088,3170
LSTM,7,0.6000000000000001,0.7000000000000001,0.6492558138207944,0.6337174044875682,3298
LSTM,7,0.7000000000000001,0.8,0.7499797405481092,0.7367909238249595,3085
LSTM,7,0.8,0.9,0.8487812282142724,0.8658922914466737,2841
LSTM,7,0.9,1.0,0.940191461005242,0.9603326935380678,1563
LSTM-ext,1,0.0,0.1,0.002378848982141159,0.0020447321497790525,103192
LSTM-ext,1,0.1,0.2,0.14538218931881702,0.17315514235909354,1721
LSTM-ext,1,0.2,0.30000000000000004,0.24719287009106677,0.24023769100169778,1178
LSTM-ext,1,0.30000000000000004,0.4,0.3470513079696497,0.35228539576365664,897
LSTM-ext,1,0.4,0.5,0.44909740811976356,0.47784431137724553,835
LSTM-ext,1,0.5,0.6000000000000001,0.5508352972534805,0.5166270783847982,842
LSTM-ext,1,0.6000000000000001,0.7000000000000001,0.6510387486597566,0.6566579634464752,766
LSTM-ext,1,0.7000000000000001,0.8,0.753906507091532,0.7749120750293084,853
LSTM-ext,1,0.8,0.9,0.853609285820697,0.8482213438735178,1265
LSTM-ext,1,0.9,1.0,0.9847625170805249,0.9803745654368061,8917
LSTM-ext,3,0.0,0.1,0.0038744884192276207,0.003533815126719624,100458
LSTM-ext,3,0.1,0.2,0.1452816581122037,0.14803849000740193,2702
LSTM-ext,3,0.2,0.30000000000000004,0.2468215044173451,0.26229508196721313,1708
LSTM-ext,3,0.30000000000000004,0.4,0.3485587068593767,0.36788776305533905,1283
LSTM-ext,3,0.4,0.5,0.44814843374675706,0.4583333333333333,1200
LSTM-ext,3,0.5,0.6000000000000001,0.5510009623506547,0.5363079615048119,1143
LSTM-ext,3,0.6000000000000001,0.7000000000000001,0.6503001645039935,0.6532180595581172,1041
LSTM-ext,3,0.7000000000000001,0.8,0.7515633638702971,0.7438148443735035,1253
LSTM-ext,3,0.8,0.9,0.8531702654027444,0.8378870673952641,1647
LSTM-ext,3,0.9,1.0,0.9773675065751211,0.9693863415985594,7219
LSTM-ext,7,0.0,0.1,0.005654409590521362,0.004762438939821944,98059
LSTM-ext,7,0.1,0.2,0.14520361591685624,0.13617141246123485,3547
LSTM-ext,7,0.2,0.30000000000000004,0.24694116773251146,0.26877657061880017,2117
LSTM-ext,7,0.30000000000000004,0.4,0.34979334645400506,0.3616636528028933,1659
LSTM-ext,7,0.4,0.5,0.4504170992353248,0.4337265787647467,1441
LSTM-ext,7,0.5,0.6000000000000001,0.5495719234890267,0.5390447308567097,1319
LSTM-ext,7,0.6000000000000001,0.7000000000000001,0.6511259996170231,0.6362240982348427,1303
LSTM-ext,7,0.7000000000000001,0.8,0.7503001788811227,0.7707896575821104,1431
LSTM-ext,7,0.8,0.9,0.8525447322407355,0.8531701890989989,1798
LSTM-ext,7,0.9,1.0,0.9706853924677253,0.9659072010643606,6013
LightGBM,1,0.0,0.1,0.002736203906873444,0.00293199184665281,99591
LightGBM,1,0.1,0.2,0.14538765926704994,0.1630735212824765,1809
LightGBM,1,0.2,0.30000000000000004,0.24719904347092544,0.2634107285828663,1249
LightGBM,1,0.30000000000000004,0.4,0.3481069328052155,0.38613861386138615,1010
LightGBM,1,0.4,0.5,0.4493429996445896,0.4856115107913669,834
LightGBM,1,0.5,0.6000000000000001,0.5483328308569257,0.5746714456391876,837
LightGBM,1,0.6000000000000001,0.7000000000000001,0.6514241179352096,0.6444906444906445,962
LightGBM,1,0.7000000000000001,0.8,0.7509003184609662,0.7524193548387097,1240
LightGBM,1,0.8,0.9,0.8560214604472697,0.849616368286445,1955
LightGBM,1,0.9,1.0,0.9767464077248756,0.9757719282266144,10979
LightGBM,3,0.0,0.1,0.005537200744171429,0.0052136861939020215,93408
LightGBM,3,0.1,0.2,0.14554803191452095,0.17439180537772087,3905
LightGBM,3,0.2,0.30000000000000004,0.24821903825098313,0.29448529411764707,2720
LightGBM,3,0.30000000000000004,0.4,0.34882400313786194,0.36675579322638147,2244
LightGBM,3,0.4,0.5,0.4507061602670732,0.47437137330754353,2068
LightGBM,3,0.5,0.6000000000000001,0.5500285910612341,0.5524940617577198,2105
LightGBM,3,0.6000000000000001,0.7000000000000001,0.65146253446179,0.6418563922942206,2284
LightGBM,3,0.7000000000000001,0.8,0.7519744315358315,0.7473968376397995,2593
LightGBM,3,0.8,0.9,0.8536526358766687,0.8708971553610503,3656
LightGBM,3,0.9,1.0,0.9426720731819755,0.9625347891243845,4671
LightGBM,7,0.0,0.1,0.005981182228331892,0.0058480842482635,89260
LightGBM,7,0.1,0.2,0.14816217199935647,0.16023976023976025,5005
LightGBM,7,0.2,0.30000000000000004,0.24815572458770643,0.27371978164803745,3847
LightGBM,7,0.30000000000000004,0.4,0.3496089678241719,0.3947530864197531,3240
LightGBM,7,0.4,0.5,0.4499000243569538,0.46448467966573814,2872
LightGBM,7,0.5,0.6000000000000001,0.5506289831741197,0.5560109289617486,2928
LightGBM,7,0.6000000000000001,0.7000000000000001,0.650069365972385,0.6438485804416404,3170
LightGBM,7,0.7000000000000001,0.8,0.7508397989067787,0.774746192893401,3152
LightGBM,7,0.8,0.9,0.850150410310132,0.9072107322526551,3578
LightGBM,7,0.9,1.0,0.9281323390664897,0.9737003058103976,1635
LightGBM-ext,1,0.0,0.1,0.0010583624022552501,0.0010814400227671583,105415
LightGBM-ext,1,0.1,0.2,0.1454797634149071,0.17718120805369128,745
LightGBM-ext,1,0.2,0.30000000000000004,0.2500524441863351,0.24833702882483372,451
LightGBM-ext,1,0.30000000000000004,0.4,0.34731884757004555,0.33587786259541985,393
LightGBM-ext,1,0.4,0.5,0.4502743948442045,0.4481792717086835,357
LightGBM-ext,1,0.5,0.6000000000000001,0.5503005566902478,0.5523114355231143,411
LightGBM-ext,1,0.6000000000000001,0.7000000000000001,0.6521033956536736,0.5911016949152542,472
LightGBM-ext,1,0.7000000000000001,0.8,0.7531029586503059,0.7068676716917923,597
LightGBM-ext,1,0.8,0.9,0.8562432922432608,0.8418848167539267,955
LightGBM-ext,1,0.9,1.0,0.9872704616411536,0.9877225866916589,10670
LightGBM-ext,3,0.0,0.1,0.0030001143489435575,0.0028217758507113433,101709
LightGBM-ext,3,0.1,0.2,0.1437521424832807,0.16226415094339622,1855
LightGBM-ext,3,0.2,0.30000000000000004,0.24719522531226557,0.26942567567567566,1184
LightGBM-ext,3,0.30000000000000004,0.4,0.34777138278435615,0.3635427394438723,971
LightGBM-ext,3,0.4,0.5,0.4496605514896599,0.4432048681541582,986
LightGBM-ext,3,0.5,0.6000000000000001,0.5520226350533776,0.5247108307045215,951
LightGBM-ext,3,0.6000000000000001,0.7000000000000001,0.6504216582989654,0.6045197740112994,1062
LightGBM-ext,3,0.7000000000000001,0.8,0.7514778259285685,0.7035928143712575,1336
LightGBM-ext,3,0.8,0.9,0.8538771259323316,0.8218602207041513,1903
LightGBM-ext,3,0.9,1.0,0.9741777168144998,0.9725867220995192,7697
LightGBM-ext,7,0.0,0.1,0.004318869939230835,0.003910642824578289,98705
LightGBM-ext,7,0.1,0.2,0.146133748957986,0.14551083591331268,2907
LightGBM-ext,7,0.2,0.30000000000000004,0.2471635925052947,0.2646903123345686,1889
LightGBM-ext,7,0.30000000000000004,0.4,0.34930082506406773,0.31994362226920364,1419
LightGBM-ext,7,0.4,0.5,0.4483786015242849,0.45952197378565923,1297
LightGBM-ext,7,0.5,0.6000000000000001,0.551094567087585,0.5092816787732042,1239
LightGBM-ext,7,0.6000000000000001,0.7000000000000001,0.6503965728112961,0.6105417276720352,1366
LightGBM-ext,7,0.7000000000000001,0.8,0.7515403235316177,0.7402928071292171,1571
LightGBM-ext,7,0.8,0.9,0.8524078325778329,0.8271051320378675,2007
LightGBM-ext,7,0.9,1.0,0.9680751922401605,0.9673930332432003,6287
TR-fixedKappa,1,0.0,0.1,0.003041755410656981,0.0037760429919288354,98251
TR-fixedKappa,1,0.1,0.2,0.14485727360225378,0.15645371577574968,2301
TR-fixedKappa,1,0.2,0.30000000000000004,0.24916270557069178,0.27284263959390864,1576
TR-fixedKappa,1,0.30000000000000004,0.4,0.3491875347346506,0.3837298541826554,1303
TR-fixedKappa,1,0.4,0.5,0.4488704512102839,0.4612822647793505,1201
TR-fixedKappa,1,0.5,0.6000000000000001,0.549992970888332,0.5798722044728435,1252
TR-fixedKappa,1,0.6000000000000001,0.7000000000000001,0.6517811646031515,0.6669117647058823,1360
TR-fixedKappa,1,0.7000000000000001,0.8,0.7509846052238025,0.7682160804020101,1592
TR-fixedKappa,1,0.8,0.9,0.8545824853289588,0.8552389705882353,2176
TR-fixedKappa,1,0.9,1.0,0.9747930495890653,0.9717579860376561,9454
TR-fixedKappa,3,0.0,0.1,0.0051382444688371455,0.0058133912165139,93061
TR-fixedKappa,3,0.1,0.2,0.14588148301955978,0.1646809637278263,3777
TR-fixedKappa,3,0.2,0.30000000000000004,0.24860917326062038,0.2617743702081051,2739
TR-fixedKappa,3,0.30000000000000004,0.4,0.34886326452458555,0.35615883306320906,2468
TR-fixedKappa,3,0.4,0.5,0.4495750716915715,0.47012302284710017,2276
TR-fixedKappa,3,0.5,0.6000000000000001,0.5510662596266975,0.5860033726812817,2372
TR-fixedKappa,3,0.6000000000000001,0.7000000000000001,0.6499818917328728,0.675654242664552,2522
TR-fixedKappa,3,0.7000000000000001,0.8,0.7510094915347946,0.7487216946676406,2738
TR-fixedKappa,3,0.8,0.9,0.8519029777511358,0.856793893129771,3275
TR-fixedKappa,3,0.9,1.0,0.9519050360778222,0.9582015363759603,4426
TR-fixedKappa,7,0.0,0.1,0.006442952169933806,0.007990483244674882,89106
TR-fixedKappa,7,0.1,0.2,0.1459369148144603,0.16073697585768743,4722
TR-fixedKappa,7,0.2,0.30000000000000004,0.24843864973303553,0.2407103825136612,3660
TR-fixedKappa,7,0.30000000000000004,0.4,0.349639028518272,0.34810874704491723,3384
TR-fixedKappa,7,0.4,0.5,0.4491796603945373,0.4731280193236715,3312
TR-fixedKappa,7,0.5,0.6000000000000001,0.5502669308635522,0.567343437231913,3497
TR-fixedKappa,7,0.6000000000000001,0.7000000000000001,0.6491368034717763,0.6611353711790393,3435
TR-fixedKappa,7,0.7000000000000001,0.8,0.7485522052848812,0.7797054009819967,3055
