model,horizon,baseline,skill,station_rmse,baseline_station_rmse
Climatology,1,Persistence,-1.3355070476863036,1.8991719069182085,0.813173271645506
Climatology,1,DampedPersistence,-1.4060259589295558,1.8991719069182085,0.7893397408576391
Climatology,3,Persistence,-0.16126269358618917,1.9016346963047797,1.6375577264367185
Climatology,3,DampedPersistence,-0.3079685014202027,1.9016346963047797,1.4538841678832246
Climatology,7,Persistence,0.13552481777451963,1.9032724667255008,2.201650788662053
Climatology,7,DampedPersistence,-0.07358948840058632,1.9032724667255008,1.7728121291136714
DampedPersistence,1,Persistence,0.029309289445333397,0.7893397408576391,0.813173271645506
DampedPersistence,1,Climatology,0.5843768865881641,0.7893397408576391,1.8991719069182085
DampedPersistence,3,Persistence,0.11216310459672318,1.4538841678832246,1.6375577264367185
DampedPersistence,3,Climatology,0.23545559475309075,1.4538841678832246,1.9016346963047797
DampedPersistence,7,Persistence,0.1947805082244617,1.7728121291136714,2.201650788662053
DampedPersistence,7,Climatology,0.0685452765658302,1.7728121291136714,1.9032724667255008
DampedPriorOnly,1,Persistence,0.029309289445333397,0.7893397408576391,0.813173271645506
DampedPriorOnly,1,DampedPersistence,0.0,0.7893397408576391,0.7893397408576391
DampedPriorOnly,1,Climatology,0.5843768865881641,0.7893397408576391,1.8991719069182085
DampedPriorOnly,3,Persistence,0.11216310459672318,1.4538841678832246,1.6375577264367185
DampedPriorOnly,3,DampedPersistence,0.0,1.4538841678832246,1.4538841678832246
DampedPriorOnly,3,Climatology,0.23545559475309075,1.4538841678832246,1.9016346963047797
DampedPriorOnly,7,Persistence,0.1947805082244617,1.7728121291136714,2.201650788662053
DampedPriorOnly,7,DampedPersistence,0.0,1.7728121291136714,1.7728121291136714
DampedPriorOnly,7,Climatology,0.0685452765658302,1.7728121291136714,1.9032724667255008
LSTM,1,Persistence,0.18464435179786687,0.6630254200031709,0.813173271645506
LSTM,1,DampedPersistence,0.16002528989256803,0.6630254200031709,0.7893397408576391
LSTM,1,Climatology,0.6508870957979449,0.6630254200031709,1.8991719069182085
LSTM,3,Persistence,0.1709574552993044,1.3576050246193827,1.6375577264367185
LSTM,3,DampedPersistence,0.06622201781316528,1.3576050246193827,1.4538841678832246
LSTM,3,Climatology,0.2860852679763075,1.3576050246193827,1.9016346963047797
LSTM,7,Persistence,0.22228867560993548,1.7122487506947952,2.201650788662053
LSTM,7,DampedPersistence,0.034162321784855565,1.7122487506947952,1.7728121291136714
LSTM,7,Climatology,0.10036593255581205,1.7122487506947952,1.9032724667255008
LSTM-ext,1,Persistence,0.20014704545709494,0.6504190438809783,0.813173271645506
LSTM-ext,1,DampedPersistence,0.1759960759428123,0.6504190438809783,0.7893397408576391
LSTM-ext,1,Climatology,0.6575249236197818,0.6504190438809783,1.8991719069182085
LSTM-ext,3,Persistence,0.1490912978203922,1.3934121197464573,1.6375577264367185
LSTM-ext,3,DampedPersistence,0.04159344291148814,1.3934121197464573,1.4538841678832246
LSTM-ext,3,Climatology,0.2672556288260257,1.3934121197464573,1.9016346963047797
LSTM-ext,7,Persistence,0.17716861175302845,1.8115873748698368,2.201650788662053
LSTM-ext,7,DampedPersistence,-0.021872168584243346,1.8115873748698368,1.7728121291136714
LSTM-ext,7,Climatology,0.04817234182628838,1.8115873748698368,1.9032724667255008
LightGBM,1,Persistence,0.2754527723647915,0.5891824395578037,0.813173271645506
LightGBM,1,DampedPersistence,0.2535756036841108,0.5891824395578037,0.7893397408576391
LightGBM,1,Climatology,0.68976876847664,0.5891824395578037,1.8991719069182085
LightGBM,3,Persistence,0.20392050323150468,1.3036261307911041,1.6375577264367185
LightGBM,3,DampedPersistence,0.10334938670588034,1.3036261307911041,1.4538841678832246
LightGBM,3,Climatology,0.31447079014477086,1.3036261307911041,1.9016346963047797
LightGBM,7,Persistence,0.21211455093568143,1.7346486203078126,2.201650788662053
LightGBM,7,DampedPersistence,0.021527102719530067,1.7346486203078126,1.7728121291136714
LightGBM,7,Climatology,0.08859679807578902,1.7346486203078126,1.9032724667255008
LightGBM-ext,1,Persistence,0.24653904624808687,0.6126943088195865,0.813173271645506
LightGBM-ext,1,DampedPersistence,0.22378884895130524,0.6126943088195865,0.7893397408576391
LightGBM-ext,1,Climatology,0.6773887047361566,0.6126943088195865,1.8991719069182085
LightGBM-ext,3,Persistence,0.17787801937173164,1.3462722014512791,1.6375577264367185
LightGBM-ext,3,DampedPersistence,0.0740168775540232,1.3462722014512791,1.4538841678832246
LightGBM-ext,3,Climatology,0.2920447843808647,1.3462722014512791,1.9016346963047797
LightGBM-ext,7,Persistence,0.1897633921083819,1.7838580667674475,2.201650788662053
LightGBM-ext,7,DampedPersistence,-0.006230743502019465,1.7838580667674475,1.7728121291136714
LightGBM-ext,7,Climatology,0.06274162110036752,1.7838580667674475,1.9032724667255008
Persistence,1,DampedPersistence,-0.03019426180413909,0.813173271645506,0.7893397408576391
Persistence,1,Climatology,0.5718274534899558,0.813173271645506,1.8991719069182085
Persistence,3,DampedPersistence,-0.12633300685907622,1.6375577264367185,1.4538841678832246
Persistence,3,Climatology,0.13886840116096455,1.6375577264367185,1.9016346963047797
Persistence,7,DampedPersistence,-0.24189740836372886,2.201650788662053,1.7728121291136714
Persistence,7,Climatology,-0.1567712070410494,2.201650788662053,1.9032724667255008
TR-fixedKappa,1,Persistence,0.21895091429955083,0.6351282403347654,0.813173271645506
TR-fixedKappa,1,DampedPersistence,0.19536771372402795,0.6351282403347654,0.7893397408576391
TR-fixedKappa,1,Climatology,0.6655762240262969,0.6351282403347654,1.8991719069182085
TR-fixedKappa,3,Persistence,0.18626103831367535,1.3325445240120337,1.6375577264367185
TR-fixedKappa,3,DampedPersistence,0.08345894848545932,1.3325445240120337,1.4538841678832246
TR-fixedKappa,3,Climatology,0.2992636668854387,1.3325445240120337,1.9016346963047797
TR-fixedKappa,7,Persistence,0.22991283986136157,1.6954630034577538,2.201650788662053
TR-fixedKappa,7,DampedPersistence,0.04363075160964114,1.6954630034577538,1.7728121291136714
TR-fixedKappa,7,Climatology,0.1091853462396134,1.6954630034577538,1.9032724667255008
TR-noDynamicPrior,1,Persistence,0.21993533236303753,0.634327737877413,0.813173271645506
TR-noDynamicPrior,1,DampedPersistence,0.19638185556424836,0.634327737877413,0.7893397408576391
TR-noDynamicPrior,1,Climatology,0.6659977248153706,0.634327737877413,1.8991719069182085
TR-noDynamicPrior,3,Persistence,0.18936178930648828,1.3274668652659967,1.6375577264367185
TR-noDynamicPrior,3,DampedPersistence,0.08695142667471545,1.3274668652659967,1.4538841678832246
TR-noDynamicPrior,3,Climatology,0.3019338215454813,1.3274668652659967,1.9016346963047797
TR-noDynamicPrior,7,Persistence,0.22694468016241853,1.7019978545998067,2.201650788662053
