model,scope,feature_set,site_id,horizon,split,n_seeds,n_obs,BIAS,BIAS_std,KGE,KGE_std,MAE,MAE_std,NSE,NSE_std,PBIAS,PBIAS_std,R2,R2_std,RMSE,RMSE_std,SKILL_RMSE,SKILL_RMSE_std,CRPS,CRPS_std,EVT_AUPRC,EVT_AUPRC_std,EVT_AUROC,EVT_AUROC_std,EVT_BASE_RATE,EVT_BASE_RATE_std,EVT_BRIER,EVT_BRIER_std,EVT_BRIER_SKILL,EVT_BRIER_SKILL_std,MPIW,MPIW_std,PICP,PICP_std,PINBALL,PINBALL_std,WINKLER,WINKLER_std
Air2streamLite,per_station,phys,b1,1,calib,1,365,-0.03165613904860117,0.0,0.9945635307282223,0.0,0.254471679826761,0.0,0.9959670806805159,0.0,-0.31995377710905837,0.0,0.9959670806805159,0.0,0.33228353130758626,0.0,0.020790643756289695,0.0,,,,,,,,,,,,,,,,,,,,
Air2streamLite,per_station,phys,b1,1,test,1,730,-0.02706080287330249,0.0,0.9952123255660225,0.0,0.25131532068682666,0.0,0.9958764442023759,0.0,-0.27651329205233427,0.0,0.9958764442023759,0.0,0.33418606736883516,0.0,0.03046141717617079,0.0,,,,,,,,,,,,,,,,,,,,
Air2streamLite,per_station,phys,b1,1,val,1,731,-0.03109492498730733,0.0,0.9954570169037695,0.0,0.2689986058076627,0.0,0.9952856798831012,0.0,-0.31386896113948715,0.0,0.9952856798831012,0.0,0.3544664473568714,0.0,0.028072930118150263,0.0,,,,,,,,,,,,,,,,,,,,
Air2streamLite,per_station,phys,b1,3,calib,1,365,-0.08813614844747654,0.0,0.9844068259826759,0.0,0.5083749329065096,0.0,0.9848716881740535,0.0,-0.8911519483456307,0.0,0.9848716881740535,0.0,0.6442545035004317,0.0,0.07762289189829263,0.0,,,,,,,,,,,,,,,,,,,,
Air2streamLite,per_station,phys,b1,3,test,1,728,-0.07681239415710839,0.0,0.9864472701676533,0.0,0.48024678789982717,0.0,0.9850901755157669,0.0,-0.783152289768986,0.0,0.9850901755157669,0.0,0.6343221552408269,0.0,0.09685855192440485,0.0,,,,,,,,,,,,,,,,,,,,
Air2streamLite,per_station,phys,b1,3,val,1,731,-0.08978290340149035,0.0,0.9868119059325631,0.0,0.513464077799364,0.0,0.9838943194566628,0.0,-0.9061842761782984,0.0,0.9838943194566628,0.0,0.655022236339746,0.0,0.0892123429919216,0.0,,,,,,,,,,,,,,,,,,,,
Air2streamLite,per_station,phys,b1,7,calib,1,365,-0.18536609273476876,0.0,0.9699412347920786,0.0,0.7290780400563105,0.0,0.969079846170578,0.0,-1.8750311453328508,0.0,0.969079846170578,0.0,0.9221138530668568,0.0,0.18104043866747932,0.0,,,,,,,,,,,,,,,,,,,,
Air2streamLite,per_station,phys,b1,7,test,1,724,-0.15841816785270618,0.0,0.9733573457182763,0.0,0.7144917380887259,0.0,0.9675079100305363,0.0,-1.608013144045863,0.0,0.9675079100305363,0.0,0.9329545511908166,0.0,0.21988448868495658,0.0,,,,,,,,,,,,,,,,,,,,
Air2streamLite,per_station,phys,b1,7,val,1,731,-0.19082107852544905,0.0,0.9731498007594357,0.0,0.7650792323550746,0.0,0.9654330139607578,0.0,-1.925702805264002,0.0,0.9654330139607578,0.0,0.959239528755506,0.0,0.2001206429446527,0.0,,,,,,,,,,,,,,,,,,,,
Air2streamLite,per_station,phys,p3,1,calib,1,365,-0.021510888497278082,0.0,0.9967178570339014,0.0,0.10959465361696248,0.0,0.998442741826152,0.0,-0.1279909086708806,0.0,0.998442741826152,0.0,0.13791265360964775,0.0,0.07134883701248207,0.0,,,,,,,,,,,,,,,,,,,,
Air2streamLite,per_station,phys,p3,1,test,1,730,-0.03917237512838239,0.0,0.9943338039922557,0.0,0.12605606690815846,0.0,0.9977130066476206,0.0,-0.22810789514856408,0.0,0.9977130066476206,0.0,0.16195007638817666,0.0,-0.020633534676642196,0.0,,,,,,,,,,,,,,,,,,,,
Air2streamLite,per_station,phys,p3,1,val,1,731,-0.04820897363820624,0.0,0.9925052587525527,0.0,0.13457745814749528,0.0,0.9970417329353002,0.0,-0.27593929880926427,0.0,0.9970417329353002,0.0,0.1741465191327069,0.0,-0.021876682809246706,0.0,,,,,,,,,,,,,,,,,,,,
Air2streamLite,per_station,phys,p3,3,calib,1,365,-0.06182675053138272,0.0,0.991001694901329,0.0,0.20742414725894281,0.0,0.9945169998982766,0.0,-0.36800436945883513,0.0,0.9945169998982766,0.0,0.2592793584880126,0.0,0.16943726217593424,0.0,,,,,,,,,,,,,,,,,,,,
Air2streamLite,per_station,phys,p3,3,test,1,728,-0.11300139432171273,0.0,0.9847444249198226,0.0,0.25985087467185713,0.0,0.9904913545749845,0.0,-0.6575204618684308,0.0,0.9904913545749845,0.0,0.3297542313032377,0.0,-0.022875786603936632,0.0,,,,,,,,,,,,,,,,,,,,
