site,kappa_low,kappa_high,ratio
n00,0.08726141,0.07390815,0.8469741
n01,0.048981678,0.042303648,0.8636627
n02,0.28945598,0.26657045,0.92093605
n03,0.118235976,0.102507494,0.8669738
n04,0.20121102,0.17339309,0.86174744
n05,0.11856198,0.10372266,0.8748391
n07,0.18285961,0.1614533,0.8829358
n08,0.1290166,0.11484567,0.890162
n09,0.039147444,0.030935625,0.79023355
n10,0.14768386,0.12937368,0.87601775
n100,0.08261689,0.07140484,0.8642886
n101,0.1892441,0.16548868,0.874472
n102,0.16150351,0.13839032,0.8568874
n103,0.18293525,0.15233693,0.83273685
n104,0.11300261,0.09659655,0.8548169
n105,0.18026602,0.15576954,0.8641093
n106,0.09223048,0.07805093,0.8462596
n107,0.11845961,0.102435194,0.8647267
n108,0.10491395,0.088289425,0.84154135
n109,0.18861221,0.16501802,0.87490636
n11,0.078943424,0.06676332,0.845711
n110,0.12877886,0.11123232,0.8637467
n111,0.20135623,0.18122001,0.899997
n112,0.17047238,0.15145828,0.88846225
n113,0.1797675,0.15767966,0.87713104
n115,0.089584224,0.07408585,0.82699656
n116,0.17204043,0.14697911,0.8543289
n117,0.15646817,0.14344713,0.91678154
n118,0.10477939,0.09430841,0.90006644
n119,0.08830238,0.077644914,0.87930715
n12,0.11385178,0.098035365,0.8610789
n13,0.11248149,0.0987351,0.8777898
n14,0.09590047,0.08092142,0.84380627
n15,0.121582285,0.1058202,0.8703587
n16,0.062357534,0.056342233,0.9035353
n17,0.13009644,0.11272561,0.8664773
n18,0.10724597,0.0942502,0.8788228
n20,0.07601399,0.06902407,0.90804434
n21,0.053147685,0.04597109,0.86496884
n22,0.18562533,0.15754989,0.8487521
n23,0.11307617,0.095010005,0.8402301
n24,0.16737208,0.14610256,0.87292075
n25,0.1687702,0.14686425,0.87020254
n26,0.15535545,0.15535545,1.0
n27,0.1138399,0.09540942,0.83810174
n28,0.1325287,0.11486522,0.86671954
n29,0.16640139,0.14833139,0.8914072
n30,0.13977757,0.124190435,0.88848615
n31,0.061623987,0.05298931,0.8598813
n33,0.13230282,0.11259133,0.85101235
n34,0.17109911,0.14877066,0.8694999
n35,0.095466875,0.08805557,0.9223678
n36,0.1911653,0.16793773,0.8784948
n37,0.18281147,0.1601376,0.87597126
n38,0.14267597,0.12699756,0.8901118
n39,0.10672055,0.08978338,0.84129417
n40,0.16577227,0.15053442,0.9080796
n41,0.11377919,0.103301995,0.9079164
n42,0.060600396,0.052777298,0.87090683
n43,0.15374559,0.13232635,0.86068386
n44,0.059840824,0.04973602,0.8311386
n45,0.054485988,0.046799693,0.8589308
n46,0.12297228,0.10591093,0.86125857
n47,0.1348985,0.11605018,0.8602778
n48,0.15729983,0.13514747,0.8591711
n49,0.22407235,0.19762363,0.88196343
n50,0.07937197,0.06893361,0.8684882
n51,0.14269961,0.13043821,0.91407543
n52,0.16470554,0.14076898,0.8546705
n53,0.12542623,0.10991784,0.8763545
n54,0.14320858,0.120433345,0.8409646
n55,0.13601126,0.11681049,0.8588296
n56,0.1149565,0.096163996,0.8365251
n57,0.1753565,0.15669307,0.89356863
n58,0.1621991,0.14421336,0.88911325
n59,0.14812532,0.1285012,0.8675168
n60,0.1001792,0.09069938,0.90537137
n61,0.1528266,0.13254297,0.8672768
n62,0.15415438,0.13256173,0.8599284
n63,0.060914334,0.053026855,0.8705152
n64,0.18614058,0.16192879,0.86992735
n65,0.17259791,0.15098445,0.87477565
n66,0.1023335,0.08392142,0.82007766
n67,0.18221527,0.1659777,0.91088796
n68,0.15062842,0.12908936,0.8570053
n69,0.15832296,0.13554661,0.85613996
n70,0.16689149,0.14392604,0.86239296
n71,0.17920382,0.1522492,0.8495868
n72,0.10827896,0.09697736,0.8956252
n73,0.17991604,0.15367933,0.85417247
n74,0.14814048,0.13517448,0.91247505
n75,0.21712251,0.21712251,1.0
n76,0.120608315,0.10967034,0.9093099
n78,0.08536896,0.07771632,0.9103581
n79,0.1344077,0.11617607,0.86435574
n80,0.047141537,0.043224454,0.916908
n81,0.1437219,0.1253206,0.87196594
n82,0.107043,0.096388586,0.900466
n83,0.13894948,0.11953797,0.86029804
n84,0.13564613,0.1132372,0.8347986
n85,0.038484138,0.032515224,0.84489936
n86,0.23629887,0.20184085,0.8541761
n87,0.093634784,0.08113464,0.86650103
n88,0.15249574,0.12876871,0.8444086
n89,0.13639943,0.117195405,0.8592074
n90,0.07347809,0.06491094,0.88340545
n91,0.057528213,0.045519706,0.7912588
n92,0.12033198,0.10260703,0.8526996
n93,0.14348699,0.13046941,0.90927696
n94,0.09677125,0.081696115,0.8442189
n95,0.14749701,0.12791081,0.8672095
n96,0.17878225,0.15466247,0.8650885
n97,0.09462831,0.087709665,0.9268861
n98,0.20639671,0.18933299,0.9173256
n99,0.16734506,0.1536067,0.91790396
