delta_scale,split,seed,h1_val,h3_val,h7_val,mean_val
0.4,val,0,0.6444477438926697,1.3222757577896118,1.7609496116638184,1.2425577044487
1.0,val,0,0.6299777626991272,1.320258855819702,1.7438206672668457,1.231352428595225
1.0,val,1,0.6305376291275024,1.3133316040039062,1.7272435426712036,1.2237042586008708
1.0,val,2,0.6234670877456665,1.304978609085083,1.750968098640442,1.2264712651570635
1.5,val,0,0.6405191421508789,1.3298356533050537,1.7352490425109863,1.2352012793223064
1.5,val,1,0.6273778080940247,1.31158185005188,1.7546292543411257,1.2311963041623433
1.5,val,2,0.622600793838501,1.3014980554580688,1.746711015701294,1.223603288332621
2.0,val,0,0.6271311044692993,1.3320752382278442,1.738752841949463,1.232653061548869
2.0,val,1,0.6348243355751038,1.3150179386138916,1.7551507949829102,1.2349976897239685
2.0,val,2,0.6194285750389099,1.3114945888519287,1.7591533660888672,1.2300255099932351
